Model,Anchor,Anchor Shape,Anchor Texture,Shape Match,Texture Match,Metric,Shape Distance,Texture Distance,Shape Match Closer,Texture Match Closer
resnet50_random,truck2-car3,truck2,car3,truck2-bottle3,cat2-car3,dot,3721629.0,3559084.5,1,0
resnet50_random,truck2-car3,truck2,car3,truck2-bottle3,dog10-car3,dot,3721629.0,4037503.0,0,1
resnet50_random,truck2-car3,truck2,car3,truck2-bottle3,dog5-car3,dot,3721629.0,3538534.75,1,0
resnet50_random,truck2-car3,truck2,car3,truck2-bottle3,bear4-car3,dot,3721629.0,4062560.25,0,1
resnet50_random,truck2-car3,truck2,car3,truck2-bottle3,boat3-car3,dot,3721629.0,3760192.0,0,1
resnet50_random,truck2-car3,truck2,car3,truck2-bottle3,boat4-car3,dot,3721629.0,3910334.0,0,1
resnet50_random,truck2-car3,truck2,car3,truck2-bottle3,boat5-car3,dot,3721629.0,4317580.0,0,1
resnet50_random,truck2-car3,truck2,car3,truck2-bottle3,oven7-car3,dot,3721629.0,3082200.0,1,0
resnet50_random,truck2-car3,truck2,car3,truck2-bottle3,chair3-car3,dot,3721629.0,4050225.5,0,1
resnet50_random,truck2-car3,truck2,car3,truck2-bottle3,truck10-car3,dot,3721629.0,3147381.0,1,0
resnet50_random,truck2-car3,truck2,car3,truck2-bottle3,truck1-car3,dot,3721629.0,2971028.5,1,0
resnet50_random,truck2-car3,truck2,car3,truck2-bottle3,truck3-car3,dot,3721629.0,3303078.0,1,0
resnet50_random,truck2-car3,truck2,car3,truck2-bottle3,bird6-car3,dot,3721629.0,4140787.0,0,1
resnet50_random,truck2-car3,truck2,car3,truck2-bottle3,bird2-car3,dot,3721629.0,3724777.75,0,1
resnet50_random,truck2-car3,truck2,car3,truck2-bottle3,airplane10-car3,dot,3721629.0,4271732.0,0,1
resnet50_random,truck2-car3,truck2,car3,truck2-bottle3,bicycle5-car3,dot,3721629.0,4674372.5,0,1
resnet50_random,truck2-car3,truck2,car3,truck2-bottle3,bottle9-car3,dot,3721629.0,4097312.5,0,1
resnet50_random,truck2-car3,truck2,car3,truck2-bottle3,bottle4-car3,dot,3721629.0,4208053.5,0,1
resnet50_random,truck2-car3,truck2,car3,truck2-bottle3,keyboard1-car3,dot,3721629.0,3804966.0,0,1
resnet50_random,truck2-car3,truck2,car3,truck2-bottle3,keyboard7-car3,dot,3721629.0,3412385.0,1,0
resnet50_random,truck2-car3,truck2,car3,truck2-bottle3,knife1-car3,dot,3721629.0,4412520.5,0,1
resnet50_random,truck2-car3,truck2,car3,truck2-bottle3,knife2-car3,dot,3721629.0,4223093.5,0,1
resnet50_random,truck2-car3,truck2,car3,truck2-bottle3,elephant7-car3,dot,3721629.0,4085718.25,0,1
resnet50_random,truck2-car3,truck2,car3,truck2-bottle3,elephant6-car3,dot,3721629.0,3273734.0,1,0
resnet50_random,truck2-car3,truck2,car3,truck2-bottle3,elephant1-car3,dot,3721629.0,3706008.75,1,0
resnet50_random,truck2-car3,truck2,car3,truck2-bottle3,elephant4-car3,dot,3721629.0,3353493.0,1,0
resnet50_random,truck2-car3,truck2,car3,truck2-keyboard1,cat2-car3,dot,3103922.0,3559084.5,0,1
resnet50_random,truck2-car3,truck2,car3,truck2-keyboard1,dog10-car3,dot,3103922.0,4037503.0,0,1
resnet50_random,truck2-car3,truck2,car3,truck2-keyboard1,dog5-car3,dot,3103922.0,3538534.75,0,1
resnet50_random,truck2-car3,truck2,car3,truck2-keyboard1,bear4-car3,dot,3103922.0,4062560.25,0,1
resnet50_random,truck2-car3,truck2,car3,truck2-keyboard1,boat3-car3,dot,3103922.0,3760192.0,0,1
resnet50_random,truck2-car3,truck2,car3,truck2-keyboard1,boat4-car3,dot,3103922.0,3910334.0,0,1
resnet50_random,truck2-car3,truck2,car3,truck2-keyboard1,boat5-car3,dot,3103922.0,4317580.0,0,1
resnet50_random,truck2-car3,truck2,car3,truck2-keyboard1,oven7-car3,dot,3103922.0,3082200.0,1,0
resnet50_random,truck2-car3,truck2,car3,truck2-keyboard1,chair3-car3,dot,3103922.0,4050225.5,0,1
resnet50_random,truck2-car3,truck2,car3,truck2-keyboard1,truck10-car3,dot,3103922.0,3147381.0,0,1
resnet50_random,truck2-car3,truck2,car3,truck2-keyboard1,truck1-car3,dot,3103922.0,2971028.5,1,0
resnet50_random,truck2-car3,truck2,car3,truck2-keyboard1,truck3-car3,dot,3103922.0,3303078.0,0,1
resnet50_random,truck2-car3,truck2,car3,truck2-keyboard1,bird6-car3,dot,3103922.0,4140787.0,0,1
resnet50_random,truck2-car3,truck2,car3,truck2-keyboard1,bird2-car3,dot,3103922.0,3724777.75,0,1
resnet50_random,truck2-car3,truck2,car3,truck2-keyboard1,airplane10-car3,dot,3103922.0,4271732.0,0,1
resnet50_random,truck2-car3,truck2,car3,truck2-keyboard1,bicycle5-car3,dot,3103922.0,4674372.5,0,1
resnet50_random,truck2-car3,truck2,car3,truck2-keyboard1,bottle9-car3,dot,3103922.0,4097312.5,0,1
resnet50_random,truck2-car3,truck2,car3,truck2-keyboard1,bottle4-car3,dot,3103922.0,4208053.5,0,1
resnet50_random,truck2-car3,truck2,car3,truck2-keyboard1,keyboard1-car3,dot,3103922.0,3804966.0,0,1
resnet50_random,truck2-car3,truck2,car3,truck2-keyboard1,keyboard7-car3,dot,3103922.0,3412385.0,0,1
resnet50_random,truck2-car3,truck2,car3,truck2-keyboard1,knife1-car3,dot,3103922.0,4412520.5,0,1
resnet50_random,truck2-car3,truck2,car3,truck2-keyboard1,knife2-car3,dot,3103922.0,4223093.5,0,1
resnet50_random,truck2-car3,truck2,car3,truck2-keyboard1,elephant7-car3,dot,3103922.0,4085718.25,0,1
resnet50_random,truck2-car3,truck2,car3,truck2-keyboard1,elephant6-car3,dot,3103922.0,3273734.0,0,1
resnet50_random,truck2-car3,truck2,car3,truck2-keyboard1,elephant1-car3,dot,3103922.0,3706008.75,0,1
resnet50_random,truck2-car3,truck2,car3,truck2-keyboard1,elephant4-car3,dot,3103922.0,3353493.0,0,1
resnet50_random,truck2-car3,truck2,car3,truck2-bicycle2,cat2-car3,dot,3314718.5,3559084.5,0,1
resnet50_random,truck2-car3,truck2,car3,truck2-bicycle2,dog10-car3,dot,3314718.5,4037503.0,0,1
resnet50_random,truck2-car3,truck2,car3,truck2-bicycle2,dog5-car3,dot,3314718.5,3538534.75,0,1
resnet50_random,truck2-car3,truck2,car3,truck2-bicycle2,bear4-car3,dot,3314718.5,4062560.25,0,1
resnet50_random,truck2-car3,truck2,car3,truck2-bicycle2,boat3-car3,dot,3314718.5,3760192.0,0,1
resnet50_random,truck2-car3,truck2,car3,truck2-bicycle2,boat4-car3,dot,3314718.5,3910334.0,0,1
resnet50_random,truck2-car3,truck2,car3,truck2-bicycle2,boat5-car3,dot,3314718.5,4317580.0,0,1
resnet50_random,truck2-car3,truck2,car3,truck2-bicycle2,oven7-car3,dot,3314718.5,3082200.0,1,0
resnet50_random,truck2-car3,truck2,car3,truck2-bicycle2,chair3-car3,dot,3314718.5,4050225.5,0,1
resnet50_random,truck2-car3,truck2,car3,truck2-bicycle2,truck10-car3,dot,3314718.5,3147381.0,1,0
resnet50_random,truck2-car3,truck2,car3,truck2-bicycle2,truck1-car3,dot,3314718.5,2971028.5,1,0
resnet50_random,truck2-car3,truck2,car3,truck2-bicycle2,truck3-car3,dot,3314718.5,3303078.0,1,0
resnet50_random,truck2-car3,truck2,car3,truck2-bicycle2,bird6-car3,dot,3314718.5,4140787.0,0,1
resnet50_random,truck2-car3,truck2,car3,truck2-bicycle2,bird2-car3,dot,3314718.5,3724777.75,0,1
resnet50_random,truck2-car3,truck2,car3,truck2-bicycle2,airplane10-car3,dot,3314718.5,4271732.0,0,1
resnet50_random,truck2-car3,truck2,car3,truck2-bicycle2,bicycle5-car3,dot,3314718.5,4674372.5,0,1
resnet50_random,truck2-car3,truck2,car3,truck2-bicycle2,bottle9-car3,dot,3314718.5,4097312.5,0,1
