Model,Anchor,Anchor Shape,Anchor Texture,Shape Match,Texture Match,Metric,Shape Distance,Texture Distance,Shape Match Closer,Texture Match Closer
resnet50_random,bicycle1-knife3,bicycle1,knife3,bicycle10-clock2,cat2-knife3,dot,6783003.0,4720920.5,1,0
resnet50_random,bicycle1-knife3,bicycle1,knife3,bicycle10-clock2,car2-knife3,dot,6783003.0,4478017.0,1,0
resnet50_random,bicycle1-knife3,bicycle1,knife3,bicycle10-clock2,dog3-knife3,dot,6783003.0,5939742.0,1,0
resnet50_random,bicycle1-knife3,bicycle1,knife3,bicycle10-clock2,dog1-knife3,dot,6783003.0,4501543.0,1,0
resnet50_random,bicycle1-knife3,bicycle1,knife3,bicycle10-clock2,dog2-knife3,dot,6783003.0,3554392.5,1,0
resnet50_random,bicycle1-knife3,bicycle1,knife3,bicycle10-clock2,dog7-knife3,dot,6783003.0,5326117.0,1,0
resnet50_random,bicycle1-knife3,bicycle1,knife3,bicycle10-clock2,bear8-knife3,dot,6783003.0,4748455.0,1,0
resnet50_random,bicycle1-knife3,bicycle1,knife3,bicycle10-clock2,oven6-knife3,dot,6783003.0,4769601.0,1,0
resnet50_random,bicycle1-knife3,bicycle1,knife3,bicycle10-clock2,oven9-knife3,dot,6783003.0,3921458.5,1,0
resnet50_random,bicycle1-knife3,bicycle1,knife3,bicycle10-clock2,chair5-knife3,dot,6783003.0,5829823.5,1,0
resnet50_random,bicycle1-knife3,bicycle1,knife3,bicycle10-clock2,truck5-knife3,dot,6783003.0,4667759.5,1,0
resnet50_random,bicycle1-knife3,bicycle1,knife3,bicycle10-clock2,bird1-knife3,dot,6783003.0,5537213.0,1,0
resnet50_random,bicycle1-knife3,bicycle1,knife3,bicycle10-clock2,bird3-knife3,dot,6783003.0,5617215.0,1,0
resnet50_random,bicycle1-knife3,bicycle1,knife3,bicycle10-clock2,airplane10-knife3,dot,6783003.0,6093868.0,1,0
resnet50_random,bicycle1-knife3,bicycle1,knife3,bicycle10-clock2,airplane9-knife3,dot,6783003.0,6445026.5,1,0
resnet50_random,bicycle1-knife3,bicycle1,knife3,bicycle10-clock2,bicycle4-knife3,dot,6783003.0,6533379.0,1,0
resnet50_random,bicycle1-knife3,bicycle1,knife3,bicycle10-clock2,bicycle9-knife3,dot,6783003.0,7079171.0,0,1
resnet50_random,bicycle1-knife3,bicycle1,knife3,bicycle10-clock2,bottle6-knife3,dot,6783003.0,6030002.5,1,0
resnet50_random,bicycle1-knife3,bicycle1,knife3,bicycle10-clock2,bottle3-knife3,dot,6783003.0,5995369.0,1,0
resnet50_random,bicycle1-knife3,bicycle1,knife3,bicycle10-clock2,bottle2-knife3,dot,6783003.0,5967767.0,1,0
resnet50_random,bicycle1-knife3,bicycle1,knife3,bicycle10-clock2,clock10-knife3,dot,6783003.0,6036829.5,1,0
resnet50_random,bicycle1-knife3,bicycle1,knife3,bicycle10-clock2,elephant10-knife3,dot,6783003.0,3822897.0,1,0
resnet50_random,bicycle1-knife3,bicycle1,knife3,bicycle10-boat3,cat2-knife3,dot,6704409.0,4720920.5,1,0
resnet50_random,bicycle1-knife3,bicycle1,knife3,bicycle10-boat3,car2-knife3,dot,6704409.0,4478017.0,1,0
resnet50_random,bicycle1-knife3,bicycle1,knife3,bicycle10-boat3,dog3-knife3,dot,6704409.0,5939742.0,1,0
resnet50_random,bicycle1-knife3,bicycle1,knife3,bicycle10-boat3,dog1-knife3,dot,6704409.0,4501543.0,1,0
resnet50_random,bicycle1-knife3,bicycle1,knife3,bicycle10-boat3,dog2-knife3,dot,6704409.0,3554392.5,1,0
resnet50_random,bicycle1-knife3,bicycle1,knife3,bicycle10-boat3,dog7-knife3,dot,6704409.0,5326117.0,1,0
resnet50_random,bicycle1-knife3,bicycle1,knife3,bicycle10-boat3,bear8-knife3,dot,6704409.0,4748455.0,1,0
resnet50_random,bicycle1-knife3,bicycle1,knife3,bicycle10-boat3,oven6-knife3,dot,6704409.0,4769601.0,1,0
resnet50_random,bicycle1-knife3,bicycle1,knife3,bicycle10-boat3,oven9-knife3,dot,6704409.0,3921458.5,1,0
resnet50_random,bicycle1-knife3,bicycle1,knife3,bicycle10-boat3,chair5-knife3,dot,6704409.0,5829823.5,1,0
resnet50_random,bicycle1-knife3,bicycle1,knife3,bicycle10-boat3,truck5-knife3,dot,6704409.0,4667759.5,1,0
resnet50_random,bicycle1-knife3,bicycle1,knife3,bicycle10-boat3,bird1-knife3,dot,6704409.0,5537213.0,1,0
resnet50_random,bicycle1-knife3,bicycle1,knife3,bicycle10-boat3,bird3-knife3,dot,6704409.0,5617215.0,1,0
resnet50_random,bicycle1-knife3,bicycle1,knife3,bicycle10-boat3,airplane10-knife3,dot,6704409.0,6093868.0,1,0
resnet50_random,bicycle1-knife3,bicycle1,knife3,bicycle10-boat3,airplane9-knife3,dot,6704409.0,6445026.5,1,0
resnet50_random,bicycle1-knife3,bicycle1,knife3,bicycle10-boat3,bicycle4-knife3,dot,6704409.0,6533379.0,1,0
resnet50_random,bicycle1-knife3,bicycle1,knife3,bicycle10-boat3,bicycle9-knife3,dot,6704409.0,7079171.0,0,1
resnet50_random,bicycle1-knife3,bicycle1,knife3,bicycle10-boat3,bottle6-knife3,dot,6704409.0,6030002.5,1,0
resnet50_random,bicycle1-knife3,bicycle1,knife3,bicycle10-boat3,bottle3-knife3,dot,6704409.0,5995369.0,1,0
resnet50_random,bicycle1-knife3,bicycle1,knife3,bicycle10-boat3,bottle2-knife3,dot,6704409.0,5967767.0,1,0
resnet50_random,bicycle1-knife3,bicycle1,knife3,bicycle10-boat3,clock10-knife3,dot,6704409.0,6036829.5,1,0
resnet50_random,bicycle1-knife3,bicycle1,knife3,bicycle10-boat3,elephant10-knife3,dot,6704409.0,3822897.0,1,0
resnet50_random,bicycle1-knife3,bicycle1,knife3,bicycle1-oven1,cat2-knife3,dot,6590238.5,4720920.5,1,0
resnet50_random,bicycle1-knife3,bicycle1,knife3,bicycle1-oven1,car2-knife3,dot,6590238.5,4478017.0,1,0
resnet50_random,bicycle1-knife3,bicycle1,knife3,bicycle1-oven1,dog3-knife3,dot,6590238.5,5939742.0,1,0
resnet50_random,bicycle1-knife3,bicycle1,knife3,bicycle1-oven1,dog1-knife3,dot,6590238.5,4501543.0,1,0
resnet50_random,bicycle1-knife3,bicycle1,knife3,bicycle1-oven1,dog2-knife3,dot,6590238.5,3554392.5,1,0
resnet50_random,bicycle1-knife3,bicycle1,knife3,bicycle1-oven1,dog7-knife3,dot,6590238.5,5326117.0,1,0
resnet50_random,bicycle1-knife3,bicycle1,knife3,bicycle1-oven1,bear8-knife3,dot,6590238.5,4748455.0,1,0
resnet50_random,bicycle1-knife3,bicycle1,knife3,bicycle1-oven1,oven6-knife3,dot,6590238.5,4769601.0,1,0
resnet50_random,bicycle1-knife3,bicycle1,knife3,bicycle1-oven1,oven9-knife3,dot,6590238.5,3921458.5,1,0
resnet50_random,bicycle1-knife3,bicycle1,knife3,bicycle1-oven1,chair5-knife3,dot,6590238.5,5829823.5,1,0
resnet50_random,bicycle1-knife3,bicycle1,knife3,bicycle1-oven1,truck5-knife3,dot,6590238.5,4667759.5,1,0
resnet50_random,bicycle1-knife3,bicycle1,knife3,bicycle1-oven1,bird1-knife3,dot,6590238.5,5537213.0,1,0
resnet50_random,bicycle1-knife3,bicycle1,knife3,bicycle1-oven1,bird3-knife3,dot,6590238.5,5617215.0,1,0
resnet50_random,bicycle1-knife3,bicycle1,knife3,bicycle1-oven1,airplane10-knife3,dot,6590238.5,6093868.0,1,0
resnet50_random,bicycle1-knife3,bicycle1,knife3,bicycle1-oven1,airplane9-knife3,dot,6590238.5,6445026.5,1,0
resnet50_random,bicycle1-knife3,bicycle1,knife3,bicycle1-oven1,bicycle4-knife3,dot,6590238.5,6533379.0,1,0
resnet50_random,bicycle1-knife3,bicycle1,knife3,bicycle1-oven1,bicycle9-knife3,dot,6590238.5,7079171.0,0,1
resnet50_random,bicycle1-knife3,bicycle1,knife3,bicycle1-oven1,bottle6-knife3,dot,6590238.5,6030002.5,1,0
resnet50_random,bicycle1-knife3,bicycle1,knife3,bicycle1-oven1,bottle3-knife3,dot,6590238.5,5995369.0,1,0
resnet50_random,bicycle1-knife3,bicycle1,knife3,bicycle1-oven1,bottle2-knife3,dot,6590238.5,5967767.0,1,0
resnet50_random,bicycle1-knife3,bicycle1,knife3,bicycle1-oven1,clock10-knife3,dot,6590238.5,6036829.5,1,0
resnet50_random,bicycle1-knife3,bicycle1,knife3,bicycle1-oven1,elephant10-knife3,dot,6590238.5,3822897.0,1,0
resnet50_random,bicycle1-knife3,bicycle1,knife3,bicycle1-truck1,cat2-knife3,dot,7131892.0,4720920.5,1,0
resnet50_random,bicycle1-knife3,bicycle1,knife3,bicycle1-truck1,car2-knife3,dot,7131892.0,4478017.0,1,0
