Model,Anchor,Anchor Shape,Anchor Texture,Shape Match,Texture Match,Metric,Shape Distance,Texture Distance,Shape Match Closer,Texture Match Closer
resnet50_random,bird1-bicycle2,bird1,bicycle2,bird1-oven1,car8-bicycle2,dot,4503591.0,4425092.0,1,0
resnet50_random,bird1-bicycle2,bird1,bicycle2,bird1-oven1,car9-bicycle2,dot,4503591.0,4274230.5,1,0
resnet50_random,bird1-bicycle2,bird1,bicycle2,bird1-oven1,car10-bicycle2,dot,4503591.0,4763488.5,0,1
resnet50_random,bird1-bicycle2,bird1,bicycle2,bird1-oven1,dog2-bicycle2,dot,4503591.0,3345798.5,1,0
resnet50_random,bird1-bicycle2,bird1,bicycle2,bird1-oven1,bear3-bicycle2,dot,4503591.0,3842875.5,1,0
resnet50_random,bird1-bicycle2,bird1,bicycle2,bird1-oven1,bear7-bicycle2,dot,4503591.0,3209876.0,1,0
resnet50_random,bird1-bicycle2,bird1,bicycle2,bird1-oven1,boat3-bicycle2,dot,4503591.0,4410758.0,1,0
resnet50_random,bird1-bicycle2,bird1,bicycle2,bird1-oven1,boat6-bicycle2,dot,4503591.0,5058758.0,0,1
resnet50_random,bird1-bicycle2,bird1,bicycle2,bird1-oven1,boat1-bicycle2,dot,4503591.0,4309188.0,1,0
resnet50_random,bird1-bicycle2,bird1,bicycle2,bird1-oven1,oven4-bicycle2,dot,4503591.0,3593889.25,1,0
resnet50_random,bird1-bicycle2,bird1,bicycle2,bird1-oven1,truck2-bicycle2,dot,4503591.0,3916224.0,1,0
resnet50_random,bird1-bicycle2,bird1,bicycle2,bird1-oven1,bird4-bicycle2,dot,4503591.0,4576121.0,0,1
resnet50_random,bird1-bicycle2,bird1,bicycle2,bird1-oven1,airplane4-bicycle2,dot,4503591.0,5215880.0,0,1
resnet50_random,bird1-bicycle2,bird1,bicycle2,bird1-oven1,airplane1-bicycle2,dot,4503591.0,5290332.0,0,1
resnet50_random,bird1-bicycle2,bird1,bicycle2,bird1-oven1,keyboard3-bicycle2,dot,4503591.0,5058832.0,0,1
resnet50_random,bird1-bicycle2,bird1,bicycle2,bird1-oven1,keyboard9-bicycle2,dot,4503591.0,3867445.0,1,0
resnet50_random,bird1-bicycle2,bird1,bicycle2,bird1-oven1,clock3-bicycle2,dot,4503591.0,3427249.5,1,0
resnet50_random,bird1-bicycle2,bird1,bicycle2,bird1-oven1,knife5-bicycle2,dot,4503591.0,5045390.0,0,1
