Model,Anchor,Anchor Shape,Anchor Texture,Shape Match,Texture Match,Metric,Shape Distance,Texture Distance,Shape Match Closer,Texture Match Closer
resnet50_random,bird1-elephant2,bird1,elephant2,bird1-oven1,cat3-elephant2,dot,4267957.0,3475874.0,1,0
resnet50_random,bird1-elephant2,bird1,elephant2,bird1-oven1,cat5-elephant2,dot,4267957.0,2943778.75,1,0
resnet50_random,bird1-elephant2,bird1,elephant2,bird1-oven1,car10-elephant2,dot,4267957.0,4259735.0,1,0
resnet50_random,bird1-elephant2,bird1,elephant2,bird1-oven1,dog3-elephant2,dot,4267957.0,4418009.0,0,1
resnet50_random,bird1-elephant2,bird1,elephant2,bird1-oven1,dog4-elephant2,dot,4267957.0,4302180.0,0,1
resnet50_random,bird1-elephant2,bird1,elephant2,bird1-oven1,dog6-elephant2,dot,4267957.0,3657124.5,1,0
resnet50_random,bird1-elephant2,bird1,elephant2,bird1-oven1,bear4-elephant2,dot,4267957.0,4337939.0,0,1
resnet50_random,bird1-elephant2,bird1,elephant2,bird1-oven1,bear8-elephant2,dot,4267957.0,3329580.5,1,0
resnet50_random,bird1-elephant2,bird1,elephant2,bird1-oven1,boat4-elephant2,dot,4267957.0,4150612.0,1,0
resnet50_random,bird1-elephant2,bird1,elephant2,bird1-oven1,boat6-elephant2,dot,4267957.0,4621688.5,0,1
resnet50_random,bird1-elephant2,bird1,elephant2,bird1-oven1,oven6-elephant2,dot,4267957.0,3464426.5,1,0
resnet50_random,bird1-elephant2,bird1,elephant2,bird1-oven1,chair6-elephant2,dot,4267957.0,4390380.0,0,1
resnet50_random,bird1-elephant2,bird1,elephant2,bird1-oven1,truck7-elephant2,dot,4267957.0,2472941.75,1,0
resnet50_random,bird1-elephant2,bird1,elephant2,bird1-oven1,bird9-elephant2,dot,4267957.0,4652624.0,0,1
resnet50_random,bird1-elephant2,bird1,elephant2,bird1-oven1,bird6-elephant2,dot,4267957.0,4416920.0,0,1
resnet50_random,bird1-elephant2,bird1,elephant2,bird1-oven1,bird10-elephant2,dot,4267957.0,4420126.0,0,1
resnet50_random,bird1-elephant2,bird1,elephant2,bird1-oven1,bicycle7-elephant2,dot,4267957.0,5211905.0,0,1
resnet50_random,bird1-elephant2,bird1,elephant2,bird1-oven1,bicycle3-elephant2,dot,4267957.0,4907347.0,0,1
resnet50_random,bird1-elephant2,bird1,elephant2,bird1-oven1,bicycle10-elephant2,dot,4267957.0,4974658.0,0,1
resnet50_random,bird1-elephant2,bird1,elephant2,bird1-oven1,bicycle1-elephant2,dot,4267957.0,5221212.0,0,1
resnet50_random,bird1-elephant2,bird1,elephant2,bird1-oven1,bottle7-elephant2,dot,4267957.0,4400193.5,0,1
resnet50_random,bird1-elephant2,bird1,elephant2,bird1-oven1,bottle9-elephant2,dot,4267957.0,4389574.0,0,1
resnet50_random,bird1-elephant2,bird1,elephant2,bird1-oven1,keyboard3-elephant2,dot,4267957.0,4624498.5,0,1
resnet50_random,bird1-elephant2,bird1,elephant2,bird1-oven1,keyboard9-elephant2,dot,4267957.0,3001125.0,1,0
resnet50_random,bird1-elephant2,bird1,elephant2,bird1-oven1,clock4-elephant2,dot,4267957.0,2598250.5,1,0
resnet50_random,bird1-elephant2,bird1,elephant2,bird1-oven1,clock2-elephant2,dot,4267957.0,2491513.5,1,0
resnet50_random,bird1-elephant2,bird1,elephant2,bird1-oven1,clock5-elephant2,dot,4267957.0,2709667.0,1,0
resnet50_random,bird1-elephant2,bird1,elephant2,bird1-oven1,clock1-elephant2,dot,4267957.0,2105288.25,1,0
resnet50_random,bird1-elephant2,bird1,elephant2,bird1-oven1,knife7-elephant2,dot,4267957.0,4701748.0,0,1
