Model,Anchor,Anchor Shape,Anchor Texture,Shape Match,Texture Match,Metric,Shape Distance,Texture Distance,Shape Match Closer,Texture Match Closer
resnet50_random,bird6-bottle3,bird6,bottle3,bird6-truck2,cat2-bottle3,dot,5285503.5,4846554.5,1,0
resnet50_random,bird6-bottle3,bird6,bottle3,bird6-truck2,car10-bottle3,dot,5285503.5,5321203.5,0,1
resnet50_random,bird6-bottle3,bird6,bottle3,bird6-truck2,car3-bottle3,dot,5285503.5,5083727.0,1,0
resnet50_random,bird6-bottle3,bird6,bottle3,bird6-truck2,bear6-bottle3,dot,5285503.5,4731035.0,1,0
resnet50_random,bird6-bottle3,bird6,bottle3,bird6-truck2,oven3-bottle3,dot,5285503.5,4622420.5,1,0
resnet50_random,bird6-bottle3,bird6,bottle3,bird6-truck2,oven5-bottle3,dot,5285503.5,4868351.0,1,0
resnet50_random,bird6-bottle3,bird6,bottle3,bird6-truck2,chair10-bottle3,dot,5285503.5,5571363.0,0,1
resnet50_random,bird6-bottle3,bird6,bottle3,bird6-truck2,chair5-bottle3,dot,5285503.5,5446889.5,0,1
resnet50_random,bird6-bottle3,bird6,bottle3,bird6-truck2,chair9-bottle3,dot,5285503.5,5569233.0,0,1
resnet50_random,bird6-bottle3,bird6,bottle3,bird6-truck2,chair3-bottle3,dot,5285503.5,5366302.0,0,1
resnet50_random,bird6-bottle3,bird6,bottle3,bird6-truck2,truck2-bottle3,dot,5285503.5,4695368.5,1,0
resnet50_random,bird6-bottle3,bird6,bottle3,bird6-truck2,truck6-bottle3,dot,5285503.5,5191595.0,1,0
resnet50_random,bird6-bottle3,bird6,bottle3,bird6-truck2,bird9-bottle3,dot,5285503.5,5631481.0,0,1
resnet50_random,bird6-bottle3,bird6,bottle3,bird6-truck2,airplane7-bottle3,dot,5285503.5,5503400.5,0,1
resnet50_random,bird6-bottle3,bird6,bottle3,bird6-truck2,airplane5-bottle3,dot,5285503.5,5299175.0,0,1
resnet50_random,bird6-bottle3,bird6,bottle3,bird6-truck2,bicycle5-bottle3,dot,5285503.5,6178967.0,0,1
resnet50_random,bird6-bottle3,bird6,bottle3,bird6-truck2,bicycle1-bottle3,dot,5285503.5,6447132.0,0,1
resnet50_random,bird6-bottle3,bird6,bottle3,bird6-truck2,clock2-bottle3,dot,5285503.5,4471264.0,1,0
resnet50_random,bird6-bottle3,bird6,bottle3,bird6-truck2,clock4-bottle3,dot,5285503.5,4169047.75,1,0
resnet50_random,bird6-bottle3,bird6,bottle3,bird6-truck2,knife6-bottle3,dot,5285503.5,5633498.0,0,1
resnet50_random,bird6-bottle3,bird6,bottle3,bird6-truck2,knife8-bottle3,dot,5285503.5,5366709.0,0,1
resnet50_random,bird6-bottle3,bird6,bottle3,bird6-truck2,knife7-bottle3,dot,5285503.5,5574159.0,0,1
resnet50_random,bird6-bottle3,bird6,bottle3,bird6-truck2,elephant7-bottle3,dot,5285503.5,5372084.5,0,1
resnet50_random,bird6-bottle3,bird6,bottle3,bird6-truck2,elephant2-bottle3,dot,5285503.5,5223829.0,1,0
resnet50_random,bird6-bottle3,bird6,bottle3,bird6-car3,cat2-bottle3,dot,5287518.0,4846554.5,1,0
resnet50_random,bird6-bottle3,bird6,bottle3,bird6-car3,car10-bottle3,dot,5287518.0,5321203.5,0,1
resnet50_random,bird6-bottle3,bird6,bottle3,bird6-car3,car3-bottle3,dot,5287518.0,5083727.0,1,0
resnet50_random,bird6-bottle3,bird6,bottle3,bird6-car3,bear6-bottle3,dot,5287518.0,4731035.0,1,0
resnet50_random,bird6-bottle3,bird6,bottle3,bird6-car3,oven3-bottle3,dot,5287518.0,4622420.5,1,0
resnet50_random,bird6-bottle3,bird6,bottle3,bird6-car3,oven5-bottle3,dot,5287518.0,4868351.0,1,0
resnet50_random,bird6-bottle3,bird6,bottle3,bird6-car3,chair10-bottle3,dot,5287518.0,5571363.0,0,1
resnet50_random,bird6-bottle3,bird6,bottle3,bird6-car3,chair5-bottle3,dot,5287518.0,5446889.5,0,1
resnet50_random,bird6-bottle3,bird6,bottle3,bird6-car3,chair9-bottle3,dot,5287518.0,5569233.0,0,1
resnet50_random,bird6-bottle3,bird6,bottle3,bird6-car3,chair3-bottle3,dot,5287518.0,5366302.0,0,1
resnet50_random,bird6-bottle3,bird6,bottle3,bird6-car3,truck2-bottle3,dot,5287518.0,4695368.5,1,0
resnet50_random,bird6-bottle3,bird6,bottle3,bird6-car3,truck6-bottle3,dot,5287518.0,5191595.0,1,0
resnet50_random,bird6-bottle3,bird6,bottle3,bird6-car3,bird9-bottle3,dot,5287518.0,5631481.0,0,1
resnet50_random,bird6-bottle3,bird6,bottle3,bird6-car3,airplane7-bottle3,dot,5287518.0,5503400.5,0,1
resnet50_random,bird6-bottle3,bird6,bottle3,bird6-car3,airplane5-bottle3,dot,5287518.0,5299175.0,0,1
resnet50_random,bird6-bottle3,bird6,bottle3,bird6-car3,bicycle5-bottle3,dot,5287518.0,6178967.0,0,1
resnet50_random,bird6-bottle3,bird6,bottle3,bird6-car3,bicycle1-bottle3,dot,5287518.0,6447132.0,0,1
resnet50_random,bird6-bottle3,bird6,bottle3,bird6-car3,clock2-bottle3,dot,5287518.0,4471264.0,1,0
resnet50_random,bird6-bottle3,bird6,bottle3,bird6-car3,clock4-bottle3,dot,5287518.0,4169047.75,1,0
resnet50_random,bird6-bottle3,bird6,bottle3,bird6-car3,knife6-bottle3,dot,5287518.0,5633498.0,0,1
resnet50_random,bird6-bottle3,bird6,bottle3,bird6-car3,knife8-bottle3,dot,5287518.0,5366709.0,0,1
resnet50_random,bird6-bottle3,bird6,bottle3,bird6-car3,knife7-bottle3,dot,5287518.0,5574159.0,0,1
resnet50_random,bird6-bottle3,bird6,bottle3,bird6-car3,elephant7-bottle3,dot,5287518.0,5372084.5,0,1
resnet50_random,bird6-bottle3,bird6,bottle3,bird6-car3,elephant2-bottle3,dot,5287518.0,5223829.0,1,0
resnet50_random,bird6-bottle3,bird6,bottle3,bird6-oven1,cat2-bottle3,dot,5058618.5,4846554.5,1,0
resnet50_random,bird6-bottle3,bird6,bottle3,bird6-oven1,car10-bottle3,dot,5058618.5,5321203.5,0,1
resnet50_random,bird6-bottle3,bird6,bottle3,bird6-oven1,car3-bottle3,dot,5058618.5,5083727.0,0,1
resnet50_random,bird6-bottle3,bird6,bottle3,bird6-oven1,bear6-bottle3,dot,5058618.5,4731035.0,1,0
resnet50_random,bird6-bottle3,bird6,bottle3,bird6-oven1,oven3-bottle3,dot,5058618.5,4622420.5,1,0
resnet50_random,bird6-bottle3,bird6,bottle3,bird6-oven1,oven5-bottle3,dot,5058618.5,4868351.0,1,0
resnet50_random,bird6-bottle3,bird6,bottle3,bird6-oven1,chair10-bottle3,dot,5058618.5,5571363.0,0,1
resnet50_random,bird6-bottle3,bird6,bottle3,bird6-oven1,chair5-bottle3,dot,5058618.5,5446889.5,0,1
resnet50_random,bird6-bottle3,bird6,bottle3,bird6-oven1,chair9-bottle3,dot,5058618.5,5569233.0,0,1
resnet50_random,bird6-bottle3,bird6,bottle3,bird6-oven1,chair3-bottle3,dot,5058618.5,5366302.0,0,1
resnet50_random,bird6-bottle3,bird6,bottle3,bird6-oven1,truck2-bottle3,dot,5058618.5,4695368.5,1,0
resnet50_random,bird6-bottle3,bird6,bottle3,bird6-oven1,truck6-bottle3,dot,5058618.5,5191595.0,0,1
resnet50_random,bird6-bottle3,bird6,bottle3,bird6-oven1,bird9-bottle3,dot,5058618.5,5631481.0,0,1
resnet50_random,bird6-bottle3,bird6,bottle3,bird6-oven1,airplane7-bottle3,dot,5058618.5,5503400.5,0,1
resnet50_random,bird6-bottle3,bird6,bottle3,bird6-oven1,airplane5-bottle3,dot,5058618.5,5299175.0,0,1
resnet50_random,bird6-bottle3,bird6,bottle3,bird6-oven1,bicycle5-bottle3,dot,5058618.5,6178967.0,0,1
resnet50_random,bird6-bottle3,bird6,bottle3,bird6-oven1,bicycle1-bottle3,dot,5058618.5,6447132.0,0,1
resnet50_random,bird6-bottle3,bird6,bottle3,bird6-oven1,clock2-bottle3,dot,5058618.5,4471264.0,1,0
resnet50_random,bird6-bottle3,bird6,bottle3,bird6-oven1,clock4-bottle3,dot,5058618.5,4169047.75,1,0
resnet50_random,bird6-bottle3,bird6,bottle3,bird6-oven1,knife6-bottle3,dot,5058618.5,5633498.0,0,1
resnet50_random,bird6-bottle3,bird6,bottle3,bird6-oven1,knife8-bottle3,dot,5058618.5,5366709.0,0,1
resnet50_random,bird6-bottle3,bird6,bottle3,bird6-oven1,knife7-bottle3,dot,5058618.5,5574159.0,0,1
resnet50_random,bird6-bottle3,bird6,bottle3,bird6-oven1,elephant7-bottle3,dot,5058618.5,5372084.5,0,1
resnet50_random,bird6-bottle3,bird6,bottle3,bird6-oven1,elephant2-bottle3,dot,5058618.5,5223829.0,0,1
resnet50_random,bird6-bottle3,bird6,bottle3,bird6-elephant2,cat2-bottle3,dot,5014005.0,4846554.5,1,0
resnet50_random,bird6-bottle3,bird6,bottle3,bird6-elephant2,car10-bottle3,dot,5014005.0,5321203.5,0,1
resnet50_random,bird6-bottle3,bird6,bottle3,bird6-elephant2,car3-bottle3,dot,5014005.0,5083727.0,0,1
resnet50_random,bird6-bottle3,bird6,bottle3,bird6-elephant2,bear6-bottle3,dot,5014005.0,4731035.0,1,0
resnet50_random,bird6-bottle3,bird6,bottle3,bird6-elephant2,oven3-bottle3,dot,5014005.0,4622420.5,1,0
resnet50_random,bird6-bottle3,bird6,bottle3,bird6-elephant2,oven5-bottle3,dot,5014005.0,4868351.0,1,0
resnet50_random,bird6-bottle3,bird6,bottle3,bird6-elephant2,chair10-bottle3,dot,5014005.0,5571363.0,0,1
resnet50_random,bird6-bottle3,bird6,bottle3,bird6-elephant2,chair5-bottle3,dot,5014005.0,5446889.5,0,1
resnet50_random,bird6-bottle3,bird6,bottle3,bird6-elephant2,chair9-bottle3,dot,5014005.0,5569233.0,0,1
resnet50_random,bird6-bottle3,bird6,bottle3,bird6-elephant2,chair3-bottle3,dot,5014005.0,5366302.0,0,1
resnet50_random,bird6-bottle3,bird6,bottle3,bird6-elephant2,truck2-bottle3,dot,5014005.0,4695368.5,1,0
resnet50_random,bird6-bottle3,bird6,bottle3,bird6-elephant2,truck6-bottle3,dot,5014005.0,5191595.0,0,1
resnet50_random,bird6-bottle3,bird6,bottle3,bird6-elephant2,bird9-bottle3,dot,5014005.0,5631481.0,0,1
resnet50_random,bird6-bottle3,bird6,bottle3,bird6-elephant2,airplane7-bottle3,dot,5014005.0,5503400.5,0,1
resnet50_random,bird6-bottle3,bird6,bottle3,bird6-elephant2,airplane5-bottle3,dot,5014005.0,5299175.0,0,1
resnet50_random,bird6-bottle3,bird6,bottle3,bird6-elephant2,bicycle5-bottle3,dot,5014005.0,6178967.0,0,1
resnet50_random,bird6-bottle3,bird6,bottle3,bird6-elephant2,bicycle1-bottle3,dot,5014005.0,6447132.0,0,1
resnet50_random,bird6-bottle3,bird6,bottle3,bird6-elephant2,clock2-bottle3,dot,5014005.0,4471264.0,1,0
resnet50_random,bird6-bottle3,bird6,bottle3,bird6-elephant2,clock4-bottle3,dot,5014005.0,4169047.75,1,0
resnet50_random,bird6-bottle3,bird6,bottle3,bird6-elephant2,knife6-bottle3,dot,5014005.0,5633498.0,0,1
resnet50_random,bird6-bottle3,bird6,bottle3,bird6-elephant2,knife8-bottle3,dot,5014005.0,5366709.0,0,1
resnet50_random,bird6-bottle3,bird6,bottle3,bird6-elephant2,knife7-bottle3,dot,5014005.0,5574159.0,0,1
resnet50_random,bird6-bottle3,bird6,bottle3,bird6-elephant2,elephant7-bottle3,dot,5014005.0,5372084.5,0,1
resnet50_random,bird6-bottle3,bird6,bottle3,bird6-elephant2,elephant2-bottle3,dot,5014005.0,5223829.0,0,1
resnet50_random,bird6-bottle3,bird6,bottle3,bird6-airplane2,cat2-bottle3,dot,5287982.0,4846554.5,1,0
resnet50_random,bird6-bottle3,bird6,bottle3,bird6-airplane2,car10-bottle3,dot,5287982.0,5321203.5,0,1
resnet50_random,bird6-bottle3,bird6,bottle3,bird6-airplane2,car3-bottle3,dot,5287982.0,5083727.0,1,0
resnet50_random,bird6-bottle3,bird6,bottle3,bird6-airplane2,bear6-bottle3,dot,5287982.0,4731035.0,1,0
resnet50_random,bird6-bottle3,bird6,bottle3,bird6-airplane2,oven3-bottle3,dot,5287982.0,4622420.5,1,0
resnet50_random,bird6-bottle3,bird6,bottle3,bird6-airplane2,oven5-bottle3,dot,5287982.0,4868351.0,1,0
resnet50_random,bird6-bottle3,bird6,bottle3,bird6-airplane2,chair10-bottle3,dot,5287982.0,5571363.0,0,1
resnet50_random,bird6-bottle3,bird6,bottle3,bird6-airplane2,chair5-bottle3,dot,5287982.0,5446889.5,0,1
resnet50_random,bird6-bottle3,bird6,bottle3,bird6-airplane2,chair9-bottle3,dot,5287982.0,5569233.0,0,1
resnet50_random,bird6-bottle3,bird6,bottle3,bird6-airplane2,chair3-bottle3,dot,5287982.0,5366302.0,0,1
resnet50_random,bird6-bottle3,bird6,bottle3,bird6-airplane2,truck2-bottle3,dot,5287982.0,4695368.5,1,0
resnet50_random,bird6-bottle3,bird6,bottle3,bird6-airplane2,truck6-bottle3,dot,5287982.0,5191595.0,1,0
resnet50_random,bird6-bottle3,bird6,bottle3,bird6-airplane2,bird9-bottle3,dot,5287982.0,5631481.0,0,1
resnet50_random,bird6-bottle3,bird6,bottle3,bird6-airplane2,airplane7-bottle3,dot,5287982.0,5503400.5,0,1
resnet50_random,bird6-bottle3,bird6,bottle3,bird6-airplane2,airplane5-bottle3,dot,5287982.0,5299175.0,0,1
resnet50_random,bird6-bottle3,bird6,bottle3,bird6-airplane2,bicycle5-bottle3,dot,5287982.0,6178967.0,0,1
resnet50_random,bird6-bottle3,bird6,bottle3,bird6-airplane2,bicycle1-bottle3,dot,5287982.0,6447132.0,0,1
resnet50_random,bird6-bottle3,bird6,bottle3,bird6-airplane2,clock2-bottle3,dot,5287982.0,4471264.0,1,0
resnet50_random,bird6-bottle3,bird6,bottle3,bird6-airplane2,clock4-bottle3,dot,5287982.0,4169047.75,1,0
resnet50_random,bird6-bottle3,bird6,bottle3,bird6-airplane2,knife6-bottle3,dot,5287982.0,5633498.0,0,1
resnet50_random,bird6-bottle3,bird6,bottle3,bird6-airplane2,knife8-bottle3,dot,5287982.0,5366709.0,0,1
resnet50_random,bird6-bottle3,bird6,bottle3,bird6-airplane2,knife7-bottle3,dot,5287982.0,5574159.0,0,1
resnet50_random,bird6-bottle3,bird6,bottle3,bird6-airplane2,elephant7-bottle3,dot,5287982.0,5372084.5,0,1
resnet50_random,bird6-bottle3,bird6,bottle3,bird6-airplane2,elephant2-bottle3,dot,5287982.0,5223829.0,1,0
resnet50_random,bird6-bottle3,bird6,bottle3,bird6-boat2,cat2-bottle3,dot,5347746.5,4846554.5,1,0
resnet50_random,bird6-bottle3,bird6,bottle3,bird6-boat2,car10-bottle3,dot,5347746.5,5321203.5,1,0
resnet50_random,bird6-bottle3,bird6,bottle3,bird6-boat2,car3-bottle3,dot,5347746.5,5083727.0,1,0
resnet50_random,bird6-bottle3,bird6,bottle3,bird6-boat2,bear6-bottle3,dot,5347746.5,4731035.0,1,0
resnet50_random,bird6-bottle3,bird6,bottle3,bird6-boat2,oven3-bottle3,dot,5347746.5,4622420.5,1,0
resnet50_random,bird6-bottle3,bird6,bottle3,bird6-boat2,oven5-bottle3,dot,5347746.5,4868351.0,1,0
resnet50_random,bird6-bottle3,bird6,bottle3,bird6-boat2,chair10-bottle3,dot,5347746.5,5571363.0,0,1
resnet50_random,bird6-bottle3,bird6,bottle3,bird6-boat2,chair5-bottle3,dot,5347746.5,5446889.5,0,1
resnet50_random,bird6-bottle3,bird6,bottle3,bird6-boat2,chair9-bottle3,dot,5347746.5,5569233.0,0,1
