Model,Anchor,Anchor Shape,Anchor Texture,Shape Match,Texture Match,Metric,Shape Distance,Texture Distance,Shape Match Closer,Texture Match Closer
resnet50_random,bird9-bear3,bird9,bear3,bird9-elephant2,car5-bear3,dot,5318707.0,4424092.0,1,0
resnet50_random,bird9-bear3,bird9,bear3,bird9-elephant2,car4-bear3,dot,5318707.0,4808939.0,1,0
resnet50_random,bird9-bear3,bird9,bear3,bird9-elephant2,dog3-bear3,dot,5318707.0,5358001.0,0,1
resnet50_random,bird9-bear3,bird9,bear3,bird9-elephant2,dog8-bear3,dot,5318707.0,5535647.5,0,1
resnet50_random,bird9-bear3,bird9,bear3,bird9-elephant2,dog5-bear3,dot,5318707.0,4378978.0,1,0
resnet50_random,bird9-bear3,bird9,bear3,bird9-elephant2,dog9-bear3,dot,5318707.0,5584937.0,0,1
resnet50_random,bird9-bear3,bird9,bear3,bird9-elephant2,boat9-bear3,dot,5318707.0,4879834.5,1,0
resnet50_random,bird9-bear3,bird9,bear3,bird9-elephant2,boat2-bear3,dot,5318707.0,5209876.0,1,0
resnet50_random,bird9-bear3,bird9,bear3,bird9-elephant2,boat10-bear3,dot,5318707.0,5065116.0,1,0
resnet50_random,bird9-bear3,bird9,bear3,bird9-elephant2,oven2-bear3,dot,5318707.0,3018763.0,1,0
resnet50_random,bird9-bear3,bird9,bear3,bird9-elephant2,truck3-bear3,dot,5318707.0,3931341.0,1,0
resnet50_random,bird9-bear3,bird9,bear3,bird9-elephant2,bird3-bear3,dot,5318707.0,5080246.5,1,0
resnet50_random,bird9-bear3,bird9,bear3,bird9-elephant2,bird5-bear3,dot,5318707.0,5182675.0,1,0
resnet50_random,bird9-bear3,bird9,bear3,bird9-elephant2,airplane10-bear3,dot,5318707.0,5508265.0,0,1
resnet50_random,bird9-bear3,bird9,bear3,bird9-elephant2,airplane4-bear3,dot,5318707.0,5628201.0,0,1
resnet50_random,bird9-bear3,bird9,bear3,bird9-elephant2,airplane6-bear3,dot,5318707.0,5672738.0,0,1
resnet50_random,bird9-bear3,bird9,bear3,bird9-elephant2,keyboard5-bear3,dot,5318707.0,4106052.5,1,0
resnet50_random,bird9-bear3,bird9,bear3,bird9-elephant2,clock3-bear3,dot,5318707.0,3316057.0,1,0
resnet50_random,bird9-bear3,bird9,bear3,bird9-elephant2,knife10-bear3,dot,5318707.0,5188654.0,1,0
resnet50_random,bird9-bear3,bird9,bear3,bird9-elephant2,knife9-bear3,dot,5318707.0,5401273.0,0,1
resnet50_random,bird9-bear3,bird9,bear3,bird9-elephant2,elephant7-bear3,dot,5318707.0,5326739.0,0,1
resnet50_random,bird9-bear3,bird9,bear3,bird9-elephant2,elephant2-bear3,dot,5318707.0,5034703.0,1,0
resnet50_random,bird9-bear3,bird9,bear3,bird9-bicycle3,car5-bear3,dot,5502672.0,4424092.0,1,0
resnet50_random,bird9-bear3,bird9,bear3,bird9-bicycle3,car4-bear3,dot,5502672.0,4808939.0,1,0
resnet50_random,bird9-bear3,bird9,bear3,bird9-bicycle3,dog3-bear3,dot,5502672.0,5358001.0,1,0
resnet50_random,bird9-bear3,bird9,bear3,bird9-bicycle3,dog8-bear3,dot,5502672.0,5535647.5,0,1
resnet50_random,bird9-bear3,bird9,bear3,bird9-bicycle3,dog5-bear3,dot,5502672.0,4378978.0,1,0
resnet50_random,bird9-bear3,bird9,bear3,bird9-bicycle3,dog9-bear3,dot,5502672.0,5584937.0,0,1
resnet50_random,bird9-bear3,bird9,bear3,bird9-bicycle3,boat9-bear3,dot,5502672.0,4879834.5,1,0
resnet50_random,bird9-bear3,bird9,bear3,bird9-bicycle3,boat2-bear3,dot,5502672.0,5209876.0,1,0
resnet50_random,bird9-bear3,bird9,bear3,bird9-bicycle3,boat10-bear3,dot,5502672.0,5065116.0,1,0
resnet50_random,bird9-bear3,bird9,bear3,bird9-bicycle3,oven2-bear3,dot,5502672.0,3018763.0,1,0
resnet50_random,bird9-bear3,bird9,bear3,bird9-bicycle3,truck3-bear3,dot,5502672.0,3931341.0,1,0
resnet50_random,bird9-bear3,bird9,bear3,bird9-bicycle3,bird3-bear3,dot,5502672.0,5080246.5,1,0
resnet50_random,bird9-bear3,bird9,bear3,bird9-bicycle3,bird5-bear3,dot,5502672.0,5182675.0,1,0
resnet50_random,bird9-bear3,bird9,bear3,bird9-bicycle3,airplane10-bear3,dot,5502672.0,5508265.0,0,1
resnet50_random,bird9-bear3,bird9,bear3,bird9-bicycle3,airplane4-bear3,dot,5502672.0,5628201.0,0,1
resnet50_random,bird9-bear3,bird9,bear3,bird9-bicycle3,airplane6-bear3,dot,5502672.0,5672738.0,0,1
resnet50_random,bird9-bear3,bird9,bear3,bird9-bicycle3,keyboard5-bear3,dot,5502672.0,4106052.5,1,0
resnet50_random,bird9-bear3,bird9,bear3,bird9-bicycle3,clock3-bear3,dot,5502672.0,3316057.0,1,0
resnet50_random,bird9-bear3,bird9,bear3,bird9-bicycle3,knife10-bear3,dot,5502672.0,5188654.0,1,0
resnet50_random,bird9-bear3,bird9,bear3,bird9-bicycle3,knife9-bear3,dot,5502672.0,5401273.0,1,0
