Model,Anchor,Anchor Shape,Anchor Texture,Shape Match,Texture Match,Metric,Shape Distance,Texture Distance,Shape Match Closer,Texture Match Closer
resnet50_random,boat8-truck2,boat8,truck2,boat8-dog3,cat7-truck2,dot,3946556.25,3727213.0,1,0
resnet50_random,boat8-truck2,boat8,truck2,boat8-dog3,dog5-truck2,dot,3946556.25,3780747.0,1,0
resnet50_random,boat8-truck2,boat8,truck2,boat8-dog3,dog4-truck2,dot,3946556.25,4508339.0,0,1
resnet50_random,boat8-truck2,boat8,truck2,boat8-dog3,dog3-truck2,dot,3946556.25,4560198.0,0,1
resnet50_random,boat8-truck2,boat8,truck2,boat8-dog3,dog10-truck2,dot,3946556.25,4443113.0,0,1
resnet50_random,boat8-truck2,boat8,truck2,boat8-dog3,dog6-truck2,dot,3946556.25,3989837.0,0,1
resnet50_random,boat8-truck2,boat8,truck2,boat8-dog3,boat7-truck2,dot,3946556.25,4691995.0,0,1
resnet50_random,boat8-truck2,boat8,truck2,boat8-dog3,oven10-truck2,dot,3946556.25,3263195.5,1,0
resnet50_random,boat8-truck2,boat8,truck2,boat8-dog3,chair4-truck2,dot,3946556.25,5254846.0,0,1
resnet50_random,boat8-truck2,boat8,truck2,boat8-dog3,chair6-truck2,dot,3946556.25,4550860.5,0,1
resnet50_random,boat8-truck2,boat8,truck2,boat8-dog3,bird6-truck2,dot,3946556.25,4623296.0,0,1
resnet50_random,boat8-truck2,boat8,truck2,boat8-dog3,bird7-truck2,dot,3946556.25,4871947.0,0,1
resnet50_random,boat8-truck2,boat8,truck2,boat8-dog3,bird5-truck2,dot,3946556.25,4481122.5,0,1
resnet50_random,boat8-truck2,boat8,truck2,boat8-dog3,airplane4-truck2,dot,3946556.25,4871212.0,0,1
resnet50_random,boat8-truck2,boat8,truck2,boat8-dog3,bottle7-truck2,dot,3946556.25,4476653.0,0,1
resnet50_random,boat8-truck2,boat8,truck2,boat8-dog3,keyboard7-truck2,dot,3946556.25,3736366.0,1,0
resnet50_random,boat8-truck2,boat8,truck2,boat8-dog3,clock8-truck2,dot,3946556.25,3470822.5,1,0
resnet50_random,boat8-truck2,boat8,truck2,boat8-dog3,clock10-truck2,dot,3946556.25,4735925.0,0,1
resnet50_random,boat8-truck2,boat8,truck2,boat8-dog3,knife1-truck2,dot,3946556.25,4947708.5,0,1
resnet50_random,boat8-truck2,boat8,truck2,boat8-dog3,knife2-truck2,dot,3946556.25,4692543.0,0,1
resnet50_random,boat8-truck2,boat8,truck2,boat8-dog3,elephant2-truck2,dot,3946556.25,4298264.0,0,1
resnet50_random,boat8-truck2,boat8,truck2,boat8-oven1,cat7-truck2,dot,3903511.0,3727213.0,1,0
resnet50_random,boat8-truck2,boat8,truck2,boat8-oven1,dog5-truck2,dot,3903511.0,3780747.0,1,0
resnet50_random,boat8-truck2,boat8,truck2,boat8-oven1,dog4-truck2,dot,3903511.0,4508339.0,0,1
resnet50_random,boat8-truck2,boat8,truck2,boat8-oven1,dog3-truck2,dot,3903511.0,4560198.0,0,1
resnet50_random,boat8-truck2,boat8,truck2,boat8-oven1,dog10-truck2,dot,3903511.0,4443113.0,0,1
resnet50_random,boat8-truck2,boat8,truck2,boat8-oven1,dog6-truck2,dot,3903511.0,3989837.0,0,1
resnet50_random,boat8-truck2,boat8,truck2,boat8-oven1,boat7-truck2,dot,3903511.0,4691995.0,0,1
resnet50_random,boat8-truck2,boat8,truck2,boat8-oven1,oven10-truck2,dot,3903511.0,3263195.5,1,0
resnet50_random,boat8-truck2,boat8,truck2,boat8-oven1,chair4-truck2,dot,3903511.0,5254846.0,0,1
resnet50_random,boat8-truck2,boat8,truck2,boat8-oven1,chair6-truck2,dot,3903511.0,4550860.5,0,1
resnet50_random,boat8-truck2,boat8,truck2,boat8-oven1,bird6-truck2,dot,3903511.0,4623296.0,0,1
resnet50_random,boat8-truck2,boat8,truck2,boat8-oven1,bird7-truck2,dot,3903511.0,4871947.0,0,1
resnet50_random,boat8-truck2,boat8,truck2,boat8-oven1,bird5-truck2,dot,3903511.0,4481122.5,0,1
resnet50_random,boat8-truck2,boat8,truck2,boat8-oven1,airplane4-truck2,dot,3903511.0,4871212.0,0,1
resnet50_random,boat8-truck2,boat8,truck2,boat8-oven1,bottle7-truck2,dot,3903511.0,4476653.0,0,1
resnet50_random,boat8-truck2,boat8,truck2,boat8-oven1,keyboard7-truck2,dot,3903511.0,3736366.0,1,0
resnet50_random,boat8-truck2,boat8,truck2,boat8-oven1,clock8-truck2,dot,3903511.0,3470822.5,1,0
resnet50_random,boat8-truck2,boat8,truck2,boat8-oven1,clock10-truck2,dot,3903511.0,4735925.0,0,1
resnet50_random,boat8-truck2,boat8,truck2,boat8-oven1,knife1-truck2,dot,3903511.0,4947708.5,0,1
resnet50_random,boat8-truck2,boat8,truck2,boat8-oven1,knife2-truck2,dot,3903511.0,4692543.0,0,1
resnet50_random,boat8-truck2,boat8,truck2,boat8-oven1,elephant2-truck2,dot,3903511.0,4298264.0,0,1
resnet50_random,boat8-truck2,boat8,truck2,boat8-bottle1,cat7-truck2,dot,4492100.0,3727213.0,1,0
resnet50_random,boat8-truck2,boat8,truck2,boat8-bottle1,dog5-truck2,dot,4492100.0,3780747.0,1,0
resnet50_random,boat8-truck2,boat8,truck2,boat8-bottle1,dog4-truck2,dot,4492100.0,4508339.0,0,1
resnet50_random,boat8-truck2,boat8,truck2,boat8-bottle1,dog3-truck2,dot,4492100.0,4560198.0,0,1
resnet50_random,boat8-truck2,boat8,truck2,boat8-bottle1,dog10-truck2,dot,4492100.0,4443113.0,1,0
resnet50_random,boat8-truck2,boat8,truck2,boat8-bottle1,dog6-truck2,dot,4492100.0,3989837.0,1,0
resnet50_random,boat8-truck2,boat8,truck2,boat8-bottle1,boat7-truck2,dot,4492100.0,4691995.0,0,1
resnet50_random,boat8-truck2,boat8,truck2,boat8-bottle1,oven10-truck2,dot,4492100.0,3263195.5,1,0
resnet50_random,boat8-truck2,boat8,truck2,boat8-bottle1,chair4-truck2,dot,4492100.0,5254846.0,0,1
resnet50_random,boat8-truck2,boat8,truck2,boat8-bottle1,chair6-truck2,dot,4492100.0,4550860.5,0,1
resnet50_random,boat8-truck2,boat8,truck2,boat8-bottle1,bird6-truck2,dot,4492100.0,4623296.0,0,1
resnet50_random,boat8-truck2,boat8,truck2,boat8-bottle1,bird7-truck2,dot,4492100.0,4871947.0,0,1
resnet50_random,boat8-truck2,boat8,truck2,boat8-bottle1,bird5-truck2,dot,4492100.0,4481122.5,1,0
resnet50_random,boat8-truck2,boat8,truck2,boat8-bottle1,airplane4-truck2,dot,4492100.0,4871212.0,0,1
resnet50_random,boat8-truck2,boat8,truck2,boat8-bottle1,bottle7-truck2,dot,4492100.0,4476653.0,1,0
resnet50_random,boat8-truck2,boat8,truck2,boat8-bottle1,keyboard7-truck2,dot,4492100.0,3736366.0,1,0
resnet50_random,boat8-truck2,boat8,truck2,boat8-bottle1,clock8-truck2,dot,4492100.0,3470822.5,1,0
resnet50_random,boat8-truck2,boat8,truck2,boat8-bottle1,clock10-truck2,dot,4492100.0,4735925.0,0,1
resnet50_random,boat8-truck2,boat8,truck2,boat8-bottle1,knife1-truck2,dot,4492100.0,4947708.5,0,1
resnet50_random,boat8-truck2,boat8,truck2,boat8-bottle1,knife2-truck2,dot,4492100.0,4692543.0,0,1
resnet50_random,boat8-truck2,boat8,truck2,boat8-bottle1,elephant2-truck2,dot,4492100.0,4298264.0,1,0
resnet50_random,boat8-truck2,boat8,truck2,boat8-elephant1,cat7-truck2,dot,3923392.25,3727213.0,1,0
resnet50_random,boat8-truck2,boat8,truck2,boat8-elephant1,dog5-truck2,dot,3923392.25,3780747.0,1,0
resnet50_random,boat8-truck2,boat8,truck2,boat8-elephant1,dog4-truck2,dot,3923392.25,4508339.0,0,1
resnet50_random,boat8-truck2,boat8,truck2,boat8-elephant1,dog3-truck2,dot,3923392.25,4560198.0,0,1
