Model,Anchor,Anchor Shape,Anchor Texture,Shape Match,Texture Match,Metric,Shape Distance,Texture Distance,Shape Match Closer,Texture Match Closer
resnet50_random,bottle8-knife1,bottle8,knife1,bottle8-bird1,cat4-knife1,dot,4760197.0,5069112.5,0,1
resnet50_random,bottle8-knife1,bottle8,knife1,bottle8-bird1,car9-knife1,dot,4760197.0,4298102.0,1,0
resnet50_random,bottle8-knife1,bottle8,knife1,bottle8-bird1,car6-knife1,dot,4760197.0,3362215.75,1,0
resnet50_random,bottle8-knife1,bottle8,knife1,bottle8-bird1,bear4-knife1,dot,4760197.0,4927800.5,0,1
resnet50_random,bottle8-knife1,bottle8,knife1,bottle8-bird1,boat8-knife1,dot,4760197.0,4544388.0,1,0
resnet50_random,bottle8-knife1,bottle8,knife1,bottle8-bird1,oven3-knife1,dot,4760197.0,3928373.0,1,0
resnet50_random,bottle8-knife1,bottle8,knife1,bottle8-bird1,chair3-knife1,dot,4760197.0,4934567.0,0,1
resnet50_random,bottle8-knife1,bottle8,knife1,bottle8-bird1,chair2-knife1,dot,4760197.0,5557762.0,0,1
resnet50_random,bottle8-knife1,bottle8,knife1,bottle8-bird1,truck1-knife1,dot,4760197.0,2947669.5,1,0
resnet50_random,bottle8-knife1,bottle8,knife1,bottle8-bird1,truck4-knife1,dot,4760197.0,4041474.5,1,0
resnet50_random,bottle8-knife1,bottle8,knife1,bottle8-bird1,bird2-knife1,dot,4760197.0,4497115.5,1,0
resnet50_random,bottle8-knife1,bottle8,knife1,bottle8-bird1,airplane5-knife1,dot,4760197.0,4833968.5,0,1
resnet50_random,bottle8-knife1,bottle8,knife1,bottle8-bird1,airplane6-knife1,dot,4760197.0,5390481.0,0,1
resnet50_random,bottle8-knife1,bottle8,knife1,bottle8-bird1,airplane4-knife1,dot,4760197.0,5335001.0,0,1
resnet50_random,bottle8-knife1,bottle8,knife1,bottle8-bird1,bottle5-knife1,dot,4760197.0,5219849.0,0,1
resnet50_random,bottle8-knife1,bottle8,knife1,bottle8-bird1,keyboard7-knife1,dot,4760197.0,4145089.5,1,0
resnet50_random,bottle8-knife1,bottle8,knife1,bottle8-bird1,keyboard2-knife1,dot,4760197.0,4236713.0,1,0
resnet50_random,bottle8-knife1,bottle8,knife1,bottle8-bird1,clock4-knife1,dot,4760197.0,3384853.25,1,0
resnet50_random,bottle8-knife1,bottle8,knife1,bottle8-bird1,clock2-knife1,dot,4760197.0,3307208.0,1,0
resnet50_random,bottle8-knife1,bottle8,knife1,bottle8-bird1,clock8-knife1,dot,4760197.0,3864991.5,1,0
resnet50_random,bottle8-knife1,bottle8,knife1,bottle8-bird1,elephant3-knife1,dot,4760197.0,4424324.0,1,0
resnet50_random,bottle8-knife1,bottle8,knife1,bottle8-keyboard3,cat4-knife1,dot,4969752.0,5069112.5,0,1
resnet50_random,bottle8-knife1,bottle8,knife1,bottle8-keyboard3,car9-knife1,dot,4969752.0,4298102.0,1,0
resnet50_random,bottle8-knife1,bottle8,knife1,bottle8-keyboard3,car6-knife1,dot,4969752.0,3362215.75,1,0
resnet50_random,bottle8-knife1,bottle8,knife1,bottle8-keyboard3,bear4-knife1,dot,4969752.0,4927800.5,1,0
resnet50_random,bottle8-knife1,bottle8,knife1,bottle8-keyboard3,boat8-knife1,dot,4969752.0,4544388.0,1,0
resnet50_random,bottle8-knife1,bottle8,knife1,bottle8-keyboard3,oven3-knife1,dot,4969752.0,3928373.0,1,0
resnet50_random,bottle8-knife1,bottle8,knife1,bottle8-keyboard3,chair3-knife1,dot,4969752.0,4934567.0,1,0
resnet50_random,bottle8-knife1,bottle8,knife1,bottle8-keyboard3,chair2-knife1,dot,4969752.0,5557762.0,0,1
resnet50_random,bottle8-knife1,bottle8,knife1,bottle8-keyboard3,truck1-knife1,dot,4969752.0,2947669.5,1,0
resnet50_random,bottle8-knife1,bottle8,knife1,bottle8-keyboard3,truck4-knife1,dot,4969752.0,4041474.5,1,0
resnet50_random,bottle8-knife1,bottle8,knife1,bottle8-keyboard3,bird2-knife1,dot,4969752.0,4497115.5,1,0
resnet50_random,bottle8-knife1,bottle8,knife1,bottle8-keyboard3,airplane5-knife1,dot,4969752.0,4833968.5,1,0
resnet50_random,bottle8-knife1,bottle8,knife1,bottle8-keyboard3,airplane6-knife1,dot,4969752.0,5390481.0,0,1
resnet50_random,bottle8-knife1,bottle8,knife1,bottle8-keyboard3,airplane4-knife1,dot,4969752.0,5335001.0,0,1
