Model,Anchor,Anchor Shape,Anchor Texture,Shape Match,Texture Match,Metric,Shape Distance,Texture Distance,Shape Match Closer,Texture Match Closer
resnet50_random,cat8-car2,cat8,car2,cat8-bicycle3,cat4-car2,dot,4086778.5,4603485.0,0,1
resnet50_random,cat8-car2,cat8,car2,cat8-bicycle3,cat5-car2,dot,4086778.5,3482718.5,1,0
resnet50_random,cat8-car2,cat8,car2,cat8-bicycle3,cat1-car2,dot,4086778.5,3980191.25,1,0
resnet50_random,cat8-car2,cat8,car2,cat8-bicycle3,dog1-car2,dot,4086778.5,3570722.0,1,0
resnet50_random,cat8-car2,cat8,car2,cat8-bicycle3,dog7-car2,dot,4086778.5,4157303.75,0,1
resnet50_random,cat8-car2,cat8,car2,cat8-bicycle3,bear3-car2,dot,4086778.5,3600361.0,1,0
resnet50_random,cat8-car2,cat8,car2,cat8-bicycle3,bear2-car2,dot,4086778.5,3959812.75,1,0
resnet50_random,cat8-car2,cat8,car2,cat8-bicycle3,bear10-car2,dot,4086778.5,4206671.0,0,1
resnet50_random,cat8-car2,cat8,car2,cat8-bicycle3,bear6-car2,dot,4086778.5,3670032.5,1,0
resnet50_random,cat8-car2,cat8,car2,cat8-bicycle3,boat1-car2,dot,4086778.5,3960211.5,1,0
resnet50_random,cat8-car2,cat8,car2,cat8-bicycle3,oven3-car2,dot,4086778.5,3628920.25,1,0
resnet50_random,cat8-car2,cat8,car2,cat8-bicycle3,oven9-car2,dot,4086778.5,3331284.5,1,0
resnet50_random,cat8-car2,cat8,car2,cat8-bicycle3,chair10-car2,dot,4086778.5,4631390.0,0,1
resnet50_random,cat8-car2,cat8,car2,cat8-bicycle3,chair7-car2,dot,4086778.5,4006393.0,1,0
resnet50_random,cat8-car2,cat8,car2,cat8-bicycle3,bird7-car2,dot,4086778.5,4809302.5,0,1
resnet50_random,cat8-car2,cat8,car2,cat8-bicycle3,bird8-car2,dot,4086778.5,4584571.0,0,1
resnet50_random,cat8-car2,cat8,car2,cat8-bicycle3,bird5-car2,dot,4086778.5,4469106.0,0,1
resnet50_random,cat8-car2,cat8,car2,cat8-bicycle3,airplane9-car2,dot,4086778.5,4911517.0,0,1
resnet50_random,cat8-car2,cat8,car2,cat8-bicycle3,bicycle2-car2,dot,4086778.5,5148091.0,0,1
