Model,Anchor,Anchor Shape,Anchor Texture,Shape Match,Texture Match,Metric,Shape Distance,Texture Distance,Shape Match Closer,Texture Match Closer
resnet50_random,chair5-bird1,chair5,bird1,chair5-cat3,cat1-bird1,dot,4409824.5,3595032.5,1,0
resnet50_random,chair5-bird1,chair5,bird1,chair5-cat3,car9-bird1,dot,4409824.5,3581674.0,1,0
resnet50_random,chair5-bird1,chair5,bird1,chair5-cat3,car4-bird1,dot,4409824.5,3826503.75,1,0
resnet50_random,chair5-bird1,chair5,bird1,chair5-cat3,dog4-bird1,dot,4409824.5,4291878.0,1,0
resnet50_random,chair5-bird1,chair5,bird1,chair5-cat3,dog1-bird1,dot,4409824.5,3057951.0,1,0
resnet50_random,chair5-bird1,chair5,bird1,chair5-cat3,dog6-bird1,dot,4409824.5,3619986.25,1,0
resnet50_random,chair5-bird1,chair5,bird1,chair5-cat3,bear5-bird1,dot,4409824.5,3317220.5,1,0
resnet50_random,chair5-bird1,chair5,bird1,chair5-cat3,boat2-bird1,dot,4409824.5,4428587.0,0,1
resnet50_random,chair5-bird1,chair5,bird1,chair5-cat3,boat4-bird1,dot,4409824.5,4121965.5,1,0
resnet50_random,chair5-bird1,chair5,bird1,chair5-cat3,boat9-bird1,dot,4409824.5,3960280.0,1,0
resnet50_random,chair5-bird1,chair5,bird1,chair5-cat3,oven6-bird1,dot,4409824.5,3372240.5,1,0
resnet50_random,chair5-bird1,chair5,bird1,chair5-cat3,oven5-bird1,dot,4409824.5,3293366.0,1,0
resnet50_random,chair5-bird1,chair5,bird1,chair5-cat3,chair7-bird1,dot,4409824.5,3610179.5,1,0
resnet50_random,chair5-bird1,chair5,bird1,chair5-cat3,truck1-bird1,dot,4409824.5,1617158.5,1,0
resnet50_random,chair5-bird1,chair5,bird1,chair5-cat3,airplane8-bird1,dot,4409824.5,4695927.0,0,1
resnet50_random,chair5-bird1,chair5,bird1,chair5-cat3,bicycle3-bird1,dot,4409824.5,4973269.0,0,1
resnet50_random,chair5-bird1,chair5,bird1,chair5-cat3,bicycle1-bird1,dot,4409824.5,5257870.5,0,1
resnet50_random,chair5-bird1,chair5,bird1,chair5-cat3,bottle3-bird1,dot,4409824.5,4506286.0,0,1
resnet50_random,chair5-bird1,chair5,bird1,chair5-cat3,bottle8-bird1,dot,4409824.5,4433489.5,0,1
resnet50_random,chair5-bird1,chair5,bird1,chair5-cat3,bottle6-bird1,dot,4409824.5,4579834.5,0,1
resnet50_random,chair5-bird1,chair5,bird1,chair5-cat3,keyboard9-bird1,dot,4409824.5,2829677.5,1,0
resnet50_random,chair5-bird1,chair5,bird1,chair5-cat3,keyboard4-bird1,dot,4409824.5,3151013.25,1,0
resnet50_random,chair5-bird1,chair5,bird1,chair5-cat3,clock3-bird1,dot,4409824.5,2282771.5,1,0
resnet50_random,chair5-bird1,chair5,bird1,chair5-cat3,knife6-bird1,dot,4409824.5,4882216.5,0,1
resnet50_random,chair5-bird1,chair5,bird1,chair5-cat3,knife9-bird1,dot,4409824.5,4697465.5,0,1
resnet50_random,chair5-bird1,chair5,bird1,chair5-cat3,knife2-bird1,dot,4409824.5,4601377.0,0,1
resnet50_random,chair5-bird1,chair5,bird1,chair5-cat3,elephant6-bird1,dot,4409824.5,3108956.25,1,0
resnet50_random,chair5-bird1,chair5,bird1,chair5-cat3,elephant7-bird1,dot,4409824.5,4315349.0,1,0
resnet50_random,chair5-bird1,chair5,bird1,chair5-cat3,elephant4-bird1,dot,4409824.5,3238855.25,1,0
resnet50_random,chair5-bird1,chair5,bird1,chair5-cat3,elephant2-bird1,dot,4409824.5,4057192.5,1,0
resnet50_random,chair5-bird1,chair5,bird1,chair5-truck3,cat1-bird1,dot,4633896.0,3595032.5,1,0
resnet50_random,chair5-bird1,chair5,bird1,chair5-truck3,car9-bird1,dot,4633896.0,3581674.0,1,0
resnet50_random,chair5-bird1,chair5,bird1,chair5-truck3,car4-bird1,dot,4633896.0,3826503.75,1,0
