Model,Anchor,Anchor Shape,Anchor Texture,Shape Match,Texture Match,Metric,Shape Distance,Texture Distance,Shape Match Closer,Texture Match Closer
resnet50_random,chair5-car1,chair5,car1,chair5-cat3,dog9-car1,dot,4792281.0,5394818.0,0,1
resnet50_random,chair5-car1,chair5,car1,chair5-cat3,boat6-car1,dot,4792281.0,5306045.0,0,1
resnet50_random,chair5-car1,chair5,car1,chair5-cat3,oven2-car1,dot,4792281.0,3440087.5,1,0
resnet50_random,chair5-car1,chair5,car1,chair5-cat3,oven4-car1,dot,4792281.0,3997016.0,1,0
resnet50_random,chair5-car1,chair5,car1,chair5-cat3,chair8-car1,dot,4792281.0,5839842.0,0,1
resnet50_random,chair5-car1,chair5,car1,chair5-cat3,truck5-car1,dot,4792281.0,4337615.0,1,0
resnet50_random,chair5-car1,chair5,car1,chair5-cat3,airplane7-car1,dot,4792281.0,5186590.5,0,1
resnet50_random,chair5-car1,chair5,car1,chair5-cat3,airplane4-car1,dot,4792281.0,5418162.0,0,1
resnet50_random,chair5-car1,chair5,car1,chair5-cat3,airplane3-car1,dot,4792281.0,5597512.0,0,1
resnet50_random,chair5-car1,chair5,car1,chair5-cat3,bicycle9-car1,dot,4792281.0,6172134.0,0,1
resnet50_random,chair5-car1,chair5,car1,chair5-cat3,bottle1-car1,dot,4792281.0,5061436.0,0,1
resnet50_random,chair5-car1,chair5,car1,chair5-cat3,bottle10-car1,dot,4792281.0,5061097.5,0,1
resnet50_random,chair5-car1,chair5,car1,chair5-cat3,keyboard10-car1,dot,4792281.0,4486523.0,1,0
resnet50_random,chair5-car1,chair5,car1,chair5-cat3,clock1-car1,dot,4792281.0,3896968.0,1,0
resnet50_random,chair5-car1,chair5,car1,chair5-cat3,clock7-car1,dot,4792281.0,3523520.25,1,0
resnet50_random,chair5-car1,chair5,car1,chair5-cat3,elephant5-car1,dot,4792281.0,4478372.0,1,0
resnet50_random,chair5-car1,chair5,car1,chair5-truck3,dog9-car1,dot,5036550.0,5394818.0,0,1
resnet50_random,chair5-car1,chair5,car1,chair5-truck3,boat6-car1,dot,5036550.0,5306045.0,0,1
resnet50_random,chair5-car1,chair5,car1,chair5-truck3,oven2-car1,dot,5036550.0,3440087.5,1,0
resnet50_random,chair5-car1,chair5,car1,chair5-truck3,oven4-car1,dot,5036550.0,3997016.0,1,0
resnet50_random,chair5-car1,chair5,car1,chair5-truck3,chair8-car1,dot,5036550.0,5839842.0,0,1
resnet50_random,chair5-car1,chair5,car1,chair5-truck3,truck5-car1,dot,5036550.0,4337615.0,1,0
resnet50_random,chair5-car1,chair5,car1,chair5-truck3,airplane7-car1,dot,5036550.0,5186590.5,0,1
resnet50_random,chair5-car1,chair5,car1,chair5-truck3,airplane4-car1,dot,5036550.0,5418162.0,0,1
resnet50_random,chair5-car1,chair5,car1,chair5-truck3,airplane3-car1,dot,5036550.0,5597512.0,0,1
resnet50_random,chair5-car1,chair5,car1,chair5-truck3,bicycle9-car1,dot,5036550.0,6172134.0,0,1
resnet50_random,chair5-car1,chair5,car1,chair5-truck3,bottle1-car1,dot,5036550.0,5061436.0,0,1
resnet50_random,chair5-car1,chair5,car1,chair5-truck3,bottle10-car1,dot,5036550.0,5061097.5,0,1
resnet50_random,chair5-car1,chair5,car1,chair5-truck3,keyboard10-car1,dot,5036550.0,4486523.0,1,0
resnet50_random,chair5-car1,chair5,car1,chair5-truck3,clock1-car1,dot,5036550.0,3896968.0,1,0
resnet50_random,chair5-car1,chair5,car1,chair5-truck3,clock7-car1,dot,5036550.0,3523520.25,1,0
resnet50_random,chair5-car1,chair5,car1,chair5-truck3,elephant5-car1,dot,5036550.0,4478372.0,1,0
resnet50_random,chair5-car1,chair5,car1,chair5-keyboard2,dog9-car1,dot,5089781.0,5394818.0,0,1
resnet50_random,chair5-car1,chair5,car1,chair5-keyboard2,boat6-car1,dot,5089781.0,5306045.0,0,1
resnet50_random,chair5-car1,chair5,car1,chair5-keyboard2,oven2-car1,dot,5089781.0,3440087.5,1,0
resnet50_random,chair5-car1,chair5,car1,chair5-keyboard2,oven4-car1,dot,5089781.0,3997016.0,1,0
resnet50_random,chair5-car1,chair5,car1,chair5-keyboard2,chair8-car1,dot,5089781.0,5839842.0,0,1
