Model,Anchor,Anchor Shape,Anchor Texture,Shape Match,Texture Match,Metric,Shape Distance,Texture Distance,Shape Match Closer,Texture Match Closer
resnet50_random,chair9-bicycle3,chair9,bicycle3,chair9-dog2,cat8-bicycle3,dot,4863452.5,4629777.0,1,0
resnet50_random,chair9-bicycle3,chair9,bicycle3,chair9-dog2,cat5-bicycle3,dot,4863452.5,4005090.5,1,0
resnet50_random,chair9-bicycle3,chair9,bicycle3,chair9-dog2,car4-bicycle3,dot,4863452.5,4657424.0,1,0
resnet50_random,chair9-bicycle3,chair9,bicycle3,chair9-dog2,car6-bicycle3,dot,4863452.5,3651946.0,1,0
resnet50_random,chair9-bicycle3,chair9,bicycle3,chair9-dog2,dog9-bicycle3,dot,4863452.5,5377345.0,0,1
resnet50_random,chair9-bicycle3,chair9,bicycle3,chair9-dog2,bear5-bicycle3,dot,4863452.5,4232586.0,1,0
resnet50_random,chair9-bicycle3,chair9,bicycle3,chair9-dog2,bear8-bicycle3,dot,4863452.5,4105873.0,1,0
resnet50_random,chair9-bicycle3,chair9,bicycle3,chair9-dog2,bear1-bicycle3,dot,4863452.5,3887729.0,1,0
resnet50_random,chair9-bicycle3,chair9,bicycle3,chair9-dog2,boat4-bicycle3,dot,4863452.5,4912496.0,0,1
resnet50_random,chair9-bicycle3,chair9,bicycle3,chair9-dog2,boat5-bicycle3,dot,4863452.5,5453767.0,0,1
resnet50_random,chair9-bicycle3,chair9,bicycle3,chair9-dog2,chair8-bicycle3,dot,4863452.5,5845315.0,0,1
resnet50_random,chair9-bicycle3,chair9,bicycle3,chair9-dog2,chair3-bicycle3,dot,4863452.5,4941127.0,0,1
resnet50_random,chair9-bicycle3,chair9,bicycle3,chair9-dog2,truck1-bicycle3,dot,4863452.5,3293294.25,1,0
resnet50_random,chair9-bicycle3,chair9,bicycle3,chair9-dog2,bird9-bicycle3,dot,4863452.5,5324227.0,0,1
resnet50_random,chair9-bicycle3,chair9,bicycle3,chair9-dog2,airplane8-bicycle3,dot,4863452.5,5305508.0,0,1
resnet50_random,chair9-bicycle3,chair9,bicycle3,chair9-dog2,bottle6-bicycle3,dot,4863452.5,5277119.5,0,1
resnet50_random,chair9-bicycle3,chair9,bicycle3,chair9-dog2,bottle3-bicycle3,dot,4863452.5,5162500.5,0,1
resnet50_random,chair9-bicycle3,chair9,bicycle3,chair9-dog2,keyboard2-bicycle3,dot,4863452.5,4558439.0,1,0
resnet50_random,chair9-bicycle3,chair9,bicycle3,chair9-dog2,knife2-bicycle3,dot,4863452.5,5268197.0,0,1
resnet50_random,chair9-bicycle3,chair9,bicycle3,chair9-dog2,elephant8-bicycle3,dot,4863452.5,4531168.0,1,0
resnet50_random,chair9-bicycle3,chair9,bicycle3,chair9-dog2,elephant5-bicycle3,dot,4863452.5,4386050.0,1,0
resnet50_random,chair9-bicycle3,chair9,bicycle3,chair9-bird3,cat8-bicycle3,dot,5238370.5,4629777.0,1,0
resnet50_random,chair9-bicycle3,chair9,bicycle3,chair9-bird3,cat5-bicycle3,dot,5238370.5,4005090.5,1,0
resnet50_random,chair9-bicycle3,chair9,bicycle3,chair9-bird3,car4-bicycle3,dot,5238370.5,4657424.0,1,0
resnet50_random,chair9-bicycle3,chair9,bicycle3,chair9-bird3,car6-bicycle3,dot,5238370.5,3651946.0,1,0
resnet50_random,chair9-bicycle3,chair9,bicycle3,chair9-bird3,dog9-bicycle3,dot,5238370.5,5377345.0,0,1
resnet50_random,chair9-bicycle3,chair9,bicycle3,chair9-bird3,bear5-bicycle3,dot,5238370.5,4232586.0,1,0
resnet50_random,chair9-bicycle3,chair9,bicycle3,chair9-bird3,bear8-bicycle3,dot,5238370.5,4105873.0,1,0
resnet50_random,chair9-bicycle3,chair9,bicycle3,chair9-bird3,bear1-bicycle3,dot,5238370.5,3887729.0,1,0
resnet50_random,chair9-bicycle3,chair9,bicycle3,chair9-bird3,boat4-bicycle3,dot,5238370.5,4912496.0,1,0
resnet50_random,chair9-bicycle3,chair9,bicycle3,chair9-bird3,boat5-bicycle3,dot,5238370.5,5453767.0,0,1
resnet50_random,chair9-bicycle3,chair9,bicycle3,chair9-bird3,chair8-bicycle3,dot,5238370.5,5845315.0,0,1
resnet50_random,chair9-bicycle3,chair9,bicycle3,chair9-bird3,chair3-bicycle3,dot,5238370.5,4941127.0,1,0
resnet50_random,chair9-bicycle3,chair9,bicycle3,chair9-bird3,truck1-bicycle3,dot,5238370.5,3293294.25,1,0
resnet50_random,chair9-bicycle3,chair9,bicycle3,chair9-bird3,bird9-bicycle3,dot,5238370.5,5324227.0,0,1
resnet50_random,chair9-bicycle3,chair9,bicycle3,chair9-bird3,airplane8-bicycle3,dot,5238370.5,5305508.0,0,1
resnet50_random,chair9-bicycle3,chair9,bicycle3,chair9-bird3,bottle6-bicycle3,dot,5238370.5,5277119.5,0,1
resnet50_random,chair9-bicycle3,chair9,bicycle3,chair9-bird3,bottle3-bicycle3,dot,5238370.5,5162500.5,1,0
resnet50_random,chair9-bicycle3,chair9,bicycle3,chair9-bird3,keyboard2-bicycle3,dot,5238370.5,4558439.0,1,0
resnet50_random,chair9-bicycle3,chair9,bicycle3,chair9-bird3,knife2-bicycle3,dot,5238370.5,5268197.0,0,1
resnet50_random,chair9-bicycle3,chair9,bicycle3,chair9-bird3,elephant8-bicycle3,dot,5238370.5,4531168.0,1,0
resnet50_random,chair9-bicycle3,chair9,bicycle3,chair9-bird3,elephant5-bicycle3,dot,5238370.5,4386050.0,1,0
resnet50_random,chair9-bicycle3,chair9,bicycle3,chair9-bear1,cat8-bicycle3,dot,5137690.5,4629777.0,1,0
resnet50_random,chair9-bicycle3,chair9,bicycle3,chair9-bear1,cat5-bicycle3,dot,5137690.5,4005090.5,1,0
resnet50_random,chair9-bicycle3,chair9,bicycle3,chair9-bear1,car4-bicycle3,dot,5137690.5,4657424.0,1,0
resnet50_random,chair9-bicycle3,chair9,bicycle3,chair9-bear1,car6-bicycle3,dot,5137690.5,3651946.0,1,0
resnet50_random,chair9-bicycle3,chair9,bicycle3,chair9-bear1,dog9-bicycle3,dot,5137690.5,5377345.0,0,1
resnet50_random,chair9-bicycle3,chair9,bicycle3,chair9-bear1,bear5-bicycle3,dot,5137690.5,4232586.0,1,0
resnet50_random,chair9-bicycle3,chair9,bicycle3,chair9-bear1,bear8-bicycle3,dot,5137690.5,4105873.0,1,0
resnet50_random,chair9-bicycle3,chair9,bicycle3,chair9-bear1,bear1-bicycle3,dot,5137690.5,3887729.0,1,0
resnet50_random,chair9-bicycle3,chair9,bicycle3,chair9-bear1,boat4-bicycle3,dot,5137690.5,4912496.0,1,0
resnet50_random,chair9-bicycle3,chair9,bicycle3,chair9-bear1,boat5-bicycle3,dot,5137690.5,5453767.0,0,1
resnet50_random,chair9-bicycle3,chair9,bicycle3,chair9-bear1,chair8-bicycle3,dot,5137690.5,5845315.0,0,1
resnet50_random,chair9-bicycle3,chair9,bicycle3,chair9-bear1,chair3-bicycle3,dot,5137690.5,4941127.0,1,0
resnet50_random,chair9-bicycle3,chair9,bicycle3,chair9-bear1,truck1-bicycle3,dot,5137690.5,3293294.25,1,0
resnet50_random,chair9-bicycle3,chair9,bicycle3,chair9-bear1,bird9-bicycle3,dot,5137690.5,5324227.0,0,1
resnet50_random,chair9-bicycle3,chair9,bicycle3,chair9-bear1,airplane8-bicycle3,dot,5137690.5,5305508.0,0,1
resnet50_random,chair9-bicycle3,chair9,bicycle3,chair9-bear1,bottle6-bicycle3,dot,5137690.5,5277119.5,0,1
resnet50_random,chair9-bicycle3,chair9,bicycle3,chair9-bear1,bottle3-bicycle3,dot,5137690.5,5162500.5,0,1
resnet50_random,chair9-bicycle3,chair9,bicycle3,chair9-bear1,keyboard2-bicycle3,dot,5137690.5,4558439.0,1,0
resnet50_random,chair9-bicycle3,chair9,bicycle3,chair9-bear1,knife2-bicycle3,dot,5137690.5,5268197.0,0,1
resnet50_random,chair9-bicycle3,chair9,bicycle3,chair9-bear1,elephant8-bicycle3,dot,5137690.5,4531168.0,1,0
resnet50_random,chair9-bicycle3,chair9,bicycle3,chair9-bear1,elephant5-bicycle3,dot,5137690.5,4386050.0,1,0
resnet50_random,chair9-bicycle3,chair9,bicycle3,chair9-elephant1,cat8-bicycle3,dot,4879046.5,4629777.0,1,0
resnet50_random,chair9-bicycle3,chair9,bicycle3,chair9-elephant1,cat5-bicycle3,dot,4879046.5,4005090.5,1,0
resnet50_random,chair9-bicycle3,chair9,bicycle3,chair9-elephant1,car4-bicycle3,dot,4879046.5,4657424.0,1,0
resnet50_random,chair9-bicycle3,chair9,bicycle3,chair9-elephant1,car6-bicycle3,dot,4879046.5,3651946.0,1,0
resnet50_random,chair9-bicycle3,chair9,bicycle3,chair9-elephant1,dog9-bicycle3,dot,4879046.5,5377345.0,0,1
resnet50_random,chair9-bicycle3,chair9,bicycle3,chair9-elephant1,bear5-bicycle3,dot,4879046.5,4232586.0,1,0
resnet50_random,chair9-bicycle3,chair9,bicycle3,chair9-elephant1,bear8-bicycle3,dot,4879046.5,4105873.0,1,0
resnet50_random,chair9-bicycle3,chair9,bicycle3,chair9-elephant1,bear1-bicycle3,dot,4879046.5,3887729.0,1,0
resnet50_random,chair9-bicycle3,chair9,bicycle3,chair9-elephant1,boat4-bicycle3,dot,4879046.5,4912496.0,0,1
resnet50_random,chair9-bicycle3,chair9,bicycle3,chair9-elephant1,boat5-bicycle3,dot,4879046.5,5453767.0,0,1
resnet50_random,chair9-bicycle3,chair9,bicycle3,chair9-elephant1,chair8-bicycle3,dot,4879046.5,5845315.0,0,1
resnet50_random,chair9-bicycle3,chair9,bicycle3,chair9-elephant1,chair3-bicycle3,dot,4879046.5,4941127.0,0,1
resnet50_random,chair9-bicycle3,chair9,bicycle3,chair9-elephant1,truck1-bicycle3,dot,4879046.5,3293294.25,1,0
resnet50_random,chair9-bicycle3,chair9,bicycle3,chair9-elephant1,bird9-bicycle3,dot,4879046.5,5324227.0,0,1
resnet50_random,chair9-bicycle3,chair9,bicycle3,chair9-elephant1,airplane8-bicycle3,dot,4879046.5,5305508.0,0,1
resnet50_random,chair9-bicycle3,chair9,bicycle3,chair9-elephant1,bottle6-bicycle3,dot,4879046.5,5277119.5,0,1
resnet50_random,chair9-bicycle3,chair9,bicycle3,chair9-elephant1,bottle3-bicycle3,dot,4879046.5,5162500.5,0,1
resnet50_random,chair9-bicycle3,chair9,bicycle3,chair9-elephant1,keyboard2-bicycle3,dot,4879046.5,4558439.0,1,0
resnet50_random,chair9-bicycle3,chair9,bicycle3,chair9-elephant1,knife2-bicycle3,dot,4879046.5,5268197.0,0,1
resnet50_random,chair9-bicycle3,chair9,bicycle3,chair9-elephant1,elephant8-bicycle3,dot,4879046.5,4531168.0,1,0
resnet50_random,chair9-bicycle3,chair9,bicycle3,chair9-elephant1,elephant5-bicycle3,dot,4879046.5,4386050.0,1,0
resnet50_random,chair9-bicycle3,chair9,bicycle3,chair9-boat2,cat8-bicycle3,dot,5294793.5,4629777.0,1,0
resnet50_random,chair9-bicycle3,chair9,bicycle3,chair9-boat2,cat5-bicycle3,dot,5294793.5,4005090.5,1,0
resnet50_random,chair9-bicycle3,chair9,bicycle3,chair9-boat2,car4-bicycle3,dot,5294793.5,4657424.0,1,0
resnet50_random,chair9-bicycle3,chair9,bicycle3,chair9-boat2,car6-bicycle3,dot,5294793.5,3651946.0,1,0
resnet50_random,chair9-bicycle3,chair9,bicycle3,chair9-boat2,dog9-bicycle3,dot,5294793.5,5377345.0,0,1
resnet50_random,chair9-bicycle3,chair9,bicycle3,chair9-boat2,bear5-bicycle3,dot,5294793.5,4232586.0,1,0
resnet50_random,chair9-bicycle3,chair9,bicycle3,chair9-boat2,bear8-bicycle3,dot,5294793.5,4105873.0,1,0
resnet50_random,chair9-bicycle3,chair9,bicycle3,chair9-boat2,bear1-bicycle3,dot,5294793.5,3887729.0,1,0
resnet50_random,chair9-bicycle3,chair9,bicycle3,chair9-boat2,boat4-bicycle3,dot,5294793.5,4912496.0,1,0
resnet50_random,chair9-bicycle3,chair9,bicycle3,chair9-boat2,boat5-bicycle3,dot,5294793.5,5453767.0,0,1
resnet50_random,chair9-bicycle3,chair9,bicycle3,chair9-boat2,chair8-bicycle3,dot,5294793.5,5845315.0,0,1
resnet50_random,chair9-bicycle3,chair9,bicycle3,chair9-boat2,chair3-bicycle3,dot,5294793.5,4941127.0,1,0
resnet50_random,chair9-bicycle3,chair9,bicycle3,chair9-boat2,truck1-bicycle3,dot,5294793.5,3293294.25,1,0
resnet50_random,chair9-bicycle3,chair9,bicycle3,chair9-boat2,bird9-bicycle3,dot,5294793.5,5324227.0,0,1
resnet50_random,chair9-bicycle3,chair9,bicycle3,chair9-boat2,airplane8-bicycle3,dot,5294793.5,5305508.0,0,1
resnet50_random,chair9-bicycle3,chair9,bicycle3,chair9-boat2,bottle6-bicycle3,dot,5294793.5,5277119.5,1,0
resnet50_random,chair9-bicycle3,chair9,bicycle3,chair9-boat2,bottle3-bicycle3,dot,5294793.5,5162500.5,1,0
resnet50_random,chair9-bicycle3,chair9,bicycle3,chair9-boat2,keyboard2-bicycle3,dot,5294793.5,4558439.0,1,0
resnet50_random,chair9-bicycle3,chair9,bicycle3,chair9-boat2,knife2-bicycle3,dot,5294793.5,5268197.0,1,0
resnet50_random,chair9-bicycle3,chair9,bicycle3,chair9-boat2,elephant8-bicycle3,dot,5294793.5,4531168.0,1,0
resnet50_random,chair9-bicycle3,chair9,bicycle3,chair9-boat2,elephant5-bicycle3,dot,5294793.5,4386050.0,1,0
resnet50_random,chair9-bicycle3,chair9,bicycle3,chair9-bottle3,cat8-bicycle3,dot,5428902.5,4629777.0,1,0
resnet50_random,chair9-bicycle3,chair9,bicycle3,chair9-bottle3,cat5-bicycle3,dot,5428902.5,4005090.5,1,0
resnet50_random,chair9-bicycle3,chair9,bicycle3,chair9-bottle3,car4-bicycle3,dot,5428902.5,4657424.0,1,0
resnet50_random,chair9-bicycle3,chair9,bicycle3,chair9-bottle3,car6-bicycle3,dot,5428902.5,3651946.0,1,0
resnet50_random,chair9-bicycle3,chair9,bicycle3,chair9-bottle3,dog9-bicycle3,dot,5428902.5,5377345.0,1,0
resnet50_random,chair9-bicycle3,chair9,bicycle3,chair9-bottle3,bear5-bicycle3,dot,5428902.5,4232586.0,1,0
