Model,Anchor,Anchor Shape,Anchor Texture,Shape Match,Texture Match,Metric,Shape Distance,Texture Distance,Shape Match Closer,Texture Match Closer
resnet50_random,dog2-bicycle2,dog2,bicycle2,dog2-cat1,car8-bicycle2,dot,1958853.0,3131220.0,0,1
resnet50_random,dog2-bicycle2,dog2,bicycle2,dog2-cat1,car9-bicycle2,dot,1958853.0,3024687.0,0,1
resnet50_random,dog2-bicycle2,dog2,bicycle2,dog2-cat1,car10-bicycle2,dot,1958853.0,3368579.25,0,1
resnet50_random,dog2-bicycle2,dog2,bicycle2,dog2-cat1,bear3-bicycle2,dot,1958853.0,2719157.0,0,1
resnet50_random,dog2-bicycle2,dog2,bicycle2,dog2-cat1,bear7-bicycle2,dot,1958853.0,2269905.0,0,1
resnet50_random,dog2-bicycle2,dog2,bicycle2,dog2-cat1,boat3-bicycle2,dot,1958853.0,3122527.0,0,1
resnet50_random,dog2-bicycle2,dog2,bicycle2,dog2-cat1,boat6-bicycle2,dot,1958853.0,3578661.0,0,1
resnet50_random,dog2-bicycle2,dog2,bicycle2,dog2-cat1,boat1-bicycle2,dot,1958853.0,3049563.0,0,1
resnet50_random,dog2-bicycle2,dog2,bicycle2,dog2-cat1,oven4-bicycle2,dot,1958853.0,2545498.75,0,1
resnet50_random,dog2-bicycle2,dog2,bicycle2,dog2-cat1,truck2-bicycle2,dot,1958853.0,2772303.75,0,1
resnet50_random,dog2-bicycle2,dog2,bicycle2,dog2-cat1,bird4-bicycle2,dot,1958853.0,3237154.0,0,1
resnet50_random,dog2-bicycle2,dog2,bicycle2,dog2-cat1,bird1-bicycle2,dot,1958853.0,3345798.5,0,1
resnet50_random,dog2-bicycle2,dog2,bicycle2,dog2-cat1,airplane4-bicycle2,dot,1958853.0,3688191.0,0,1
resnet50_random,dog2-bicycle2,dog2,bicycle2,dog2-cat1,airplane1-bicycle2,dot,1958853.0,3741033.5,0,1
resnet50_random,dog2-bicycle2,dog2,bicycle2,dog2-cat1,keyboard3-bicycle2,dot,1958853.0,3576713.0,0,1
resnet50_random,dog2-bicycle2,dog2,bicycle2,dog2-cat1,keyboard9-bicycle2,dot,1958853.0,2736181.75,0,1
resnet50_random,dog2-bicycle2,dog2,bicycle2,dog2-cat1,clock3-bicycle2,dot,1958853.0,2426743.25,0,1
resnet50_random,dog2-bicycle2,dog2,bicycle2,dog2-cat1,knife5-bicycle2,dot,1958853.0,3567561.5,0,1
resnet50_random,dog2-bicycle2,dog2,bicycle2,dog2-cat1,elephant9-bicycle2,dot,1958853.0,2639463.0,0,1
resnet50_random,dog2-bicycle2,dog2,bicycle2,dog2-cat1,elephant4-bicycle2,dot,1958853.0,2720422.75,0,1
resnet50_random,dog2-bicycle2,dog2,bicycle2,dog2-knife3,car8-bicycle2,dot,2089445.75,3131220.0,0,1
resnet50_random,dog2-bicycle2,dog2,bicycle2,dog2-knife3,car9-bicycle2,dot,2089445.75,3024687.0,0,1
resnet50_random,dog2-bicycle2,dog2,bicycle2,dog2-knife3,car10-bicycle2,dot,2089445.75,3368579.25,0,1
resnet50_random,dog2-bicycle2,dog2,bicycle2,dog2-knife3,bear3-bicycle2,dot,2089445.75,2719157.0,0,1
resnet50_random,dog2-bicycle2,dog2,bicycle2,dog2-knife3,bear7-bicycle2,dot,2089445.75,2269905.0,0,1
resnet50_random,dog2-bicycle2,dog2,bicycle2,dog2-knife3,boat3-bicycle2,dot,2089445.75,3122527.0,0,1
resnet50_random,dog2-bicycle2,dog2,bicycle2,dog2-knife3,boat6-bicycle2,dot,2089445.75,3578661.0,0,1
resnet50_random,dog2-bicycle2,dog2,bicycle2,dog2-knife3,boat1-bicycle2,dot,2089445.75,3049563.0,0,1
resnet50_random,dog2-bicycle2,dog2,bicycle2,dog2-knife3,oven4-bicycle2,dot,2089445.75,2545498.75,0,1
resnet50_random,dog2-bicycle2,dog2,bicycle2,dog2-knife3,truck2-bicycle2,dot,2089445.75,2772303.75,0,1
resnet50_random,dog2-bicycle2,dog2,bicycle2,dog2-knife3,bird4-bicycle2,dot,2089445.75,3237154.0,0,1
resnet50_random,dog2-bicycle2,dog2,bicycle2,dog2-knife3,bird1-bicycle2,dot,2089445.75,3345798.5,0,1
resnet50_random,dog2-bicycle2,dog2,bicycle2,dog2-knife3,airplane4-bicycle2,dot,2089445.75,3688191.0,0,1
resnet50_random,dog2-bicycle2,dog2,bicycle2,dog2-knife3,airplane1-bicycle2,dot,2089445.75,3741033.5,0,1
resnet50_random,dog2-bicycle2,dog2,bicycle2,dog2-knife3,keyboard3-bicycle2,dot,2089445.75,3576713.0,0,1
resnet50_random,dog2-bicycle2,dog2,bicycle2,dog2-knife3,keyboard9-bicycle2,dot,2089445.75,2736181.75,0,1
resnet50_random,dog2-bicycle2,dog2,bicycle2,dog2-knife3,clock3-bicycle2,dot,2089445.75,2426743.25,0,1
resnet50_random,dog2-bicycle2,dog2,bicycle2,dog2-knife3,knife5-bicycle2,dot,2089445.75,3567561.5,0,1
