Model,Anchor,Anchor Shape,Anchor Texture,Shape Match,Texture Match,Metric,Shape Distance,Texture Distance,Shape Match Closer,Texture Match Closer
resnet50_random,keyboard10-boat2,keyboard10,boat2,keyboard10-airplane3,cat9-boat2,dot,3615622.25,4492391.5,0,1
resnet50_random,keyboard10-boat2,keyboard10,boat2,keyboard10-airplane3,cat2-boat2,dot,3615622.25,3887603.5,0,1
resnet50_random,keyboard10-boat2,keyboard10,boat2,keyboard10-airplane3,bear4-boat2,dot,3615622.25,4438760.5,0,1
resnet50_random,keyboard10-boat2,keyboard10,boat2,keyboard10-airplane3,bear9-boat2,dot,3615622.25,3040132.5,1,0
resnet50_random,keyboard10-boat2,keyboard10,boat2,keyboard10-airplane3,bear5-boat2,dot,3615622.25,3722809.75,0,1
resnet50_random,keyboard10-boat2,keyboard10,boat2,keyboard10-airplane3,bear8-boat2,dot,3615622.25,3656042.5,0,1
resnet50_random,keyboard10-boat2,keyboard10,boat2,keyboard10-airplane3,oven10-boat2,dot,3615622.25,3352876.25,1,0
resnet50_random,keyboard10-boat2,keyboard10,boat2,keyboard10-airplane3,oven9-boat2,dot,3615622.25,3285868.75,1,0
resnet50_random,keyboard10-boat2,keyboard10,boat2,keyboard10-airplane3,chair9-boat2,dot,3615622.25,4609056.5,0,1
resnet50_random,keyboard10-boat2,keyboard10,boat2,keyboard10-airplane3,truck6-boat2,dot,3615622.25,4334106.0,0,1
resnet50_random,keyboard10-boat2,keyboard10,boat2,keyboard10-airplane3,bird6-boat2,dot,3615622.25,4537338.0,0,1
resnet50_random,keyboard10-boat2,keyboard10,boat2,keyboard10-airplane3,airplane7-boat2,dot,3615622.25,4584785.5,0,1
resnet50_random,keyboard10-boat2,keyboard10,boat2,keyboard10-airplane3,bicycle6-boat2,dot,3615622.25,5140170.5,0,1
resnet50_random,keyboard10-boat2,keyboard10,boat2,keyboard10-airplane3,keyboard6-boat2,dot,3615622.25,4443017.0,0,1
resnet50_random,keyboard10-boat2,keyboard10,boat2,keyboard10-airplane3,keyboard7-boat2,dot,3615622.25,3661741.25,0,1
resnet50_random,keyboard10-boat2,keyboard10,boat2,keyboard10-airplane3,keyboard9-boat2,dot,3615622.25,3671096.75,0,1
resnet50_random,keyboard10-boat2,keyboard10,boat2,keyboard10-airplane3,clock10-boat2,dot,3615622.25,4651732.0,0,1
resnet50_random,keyboard10-boat2,keyboard10,boat2,keyboard10-airplane3,elephant1-boat2,dot,3615622.25,4002345.5,0,1
resnet50_random,keyboard10-boat2,keyboard10,boat2,keyboard10-airplane3,elephant8-boat2,dot,3615622.25,4025962.5,0,1
resnet50_random,keyboard10-boat2,keyboard10,boat2,keyboard10-truck1,cat9-boat2,dot,3949278.5,4492391.5,0,1
resnet50_random,keyboard10-boat2,keyboard10,boat2,keyboard10-truck1,cat2-boat2,dot,3949278.5,3887603.5,1,0
resnet50_random,keyboard10-boat2,keyboard10,boat2,keyboard10-truck1,bear4-boat2,dot,3949278.5,4438760.5,0,1
resnet50_random,keyboard10-boat2,keyboard10,boat2,keyboard10-truck1,bear9-boat2,dot,3949278.5,3040132.5,1,0
resnet50_random,keyboard10-boat2,keyboard10,boat2,keyboard10-truck1,bear5-boat2,dot,3949278.5,3722809.75,1,0
resnet50_random,keyboard10-boat2,keyboard10,boat2,keyboard10-truck1,bear8-boat2,dot,3949278.5,3656042.5,1,0
resnet50_random,keyboard10-boat2,keyboard10,boat2,keyboard10-truck1,oven10-boat2,dot,3949278.5,3352876.25,1,0
resnet50_random,keyboard10-boat2,keyboard10,boat2,keyboard10-truck1,oven9-boat2,dot,3949278.5,3285868.75,1,0
resnet50_random,keyboard10-boat2,keyboard10,boat2,keyboard10-truck1,chair9-boat2,dot,3949278.5,4609056.5,0,1
resnet50_random,keyboard10-boat2,keyboard10,boat2,keyboard10-truck1,truck6-boat2,dot,3949278.5,4334106.0,0,1
resnet50_random,keyboard10-boat2,keyboard10,boat2,keyboard10-truck1,bird6-boat2,dot,3949278.5,4537338.0,0,1
resnet50_random,keyboard10-boat2,keyboard10,boat2,keyboard10-truck1,airplane7-boat2,dot,3949278.5,4584785.5,0,1
resnet50_random,keyboard10-boat2,keyboard10,boat2,keyboard10-truck1,bicycle6-boat2,dot,3949278.5,5140170.5,0,1
resnet50_random,keyboard10-boat2,keyboard10,boat2,keyboard10-truck1,keyboard6-boat2,dot,3949278.5,4443017.0,0,1
resnet50_random,keyboard10-boat2,keyboard10,boat2,keyboard10-truck1,keyboard7-boat2,dot,3949278.5,3661741.25,1,0
resnet50_random,keyboard10-boat2,keyboard10,boat2,keyboard10-truck1,keyboard9-boat2,dot,3949278.5,3671096.75,1,0
resnet50_random,keyboard10-boat2,keyboard10,boat2,keyboard10-truck1,clock10-boat2,dot,3949278.5,4651732.0,0,1
resnet50_random,keyboard10-boat2,keyboard10,boat2,keyboard10-truck1,elephant1-boat2,dot,3949278.5,4002345.5,0,1
resnet50_random,keyboard10-boat2,keyboard10,boat2,keyboard10-truck1,elephant8-boat2,dot,3949278.5,4025962.5,0,1
