Model,Anchor,Anchor Shape,Anchor Texture,Shape Match,Texture Match,Metric,Shape Distance,Texture Distance,Shape Match Closer,Texture Match Closer
resnet50_random,keyboard2-bicycle3,keyboard2,bicycle3,keyboard2-bottle1,cat8-bicycle3,dot,4146942.25,4062545.5,1,0
resnet50_random,keyboard2-bicycle3,keyboard2,bicycle3,keyboard2-bottle1,cat5-bicycle3,dot,4146942.25,3516263.0,1,0
resnet50_random,keyboard2-bicycle3,keyboard2,bicycle3,keyboard2-bottle1,car4-bicycle3,dot,4146942.25,4087826.0,1,0
resnet50_random,keyboard2-bicycle3,keyboard2,bicycle3,keyboard2-bottle1,car6-bicycle3,dot,4146942.25,3204950.0,1,0
resnet50_random,keyboard2-bicycle3,keyboard2,bicycle3,keyboard2-bottle1,dog9-bicycle3,dot,4146942.25,4716408.0,0,1
resnet50_random,keyboard2-bicycle3,keyboard2,bicycle3,keyboard2-bottle1,bear5-bicycle3,dot,4146942.25,3714618.5,1,0
resnet50_random,keyboard2-bicycle3,keyboard2,bicycle3,keyboard2-bottle1,bear8-bicycle3,dot,4146942.25,3603850.75,1,0
resnet50_random,keyboard2-bicycle3,keyboard2,bicycle3,keyboard2-bottle1,bear1-bicycle3,dot,4146942.25,3412489.75,1,0
resnet50_random,keyboard2-bicycle3,keyboard2,bicycle3,keyboard2-bottle1,boat4-bicycle3,dot,4146942.25,4310578.0,0,1
resnet50_random,keyboard2-bicycle3,keyboard2,bicycle3,keyboard2-bottle1,boat5-bicycle3,dot,4146942.25,4784896.0,0,1
resnet50_random,keyboard2-bicycle3,keyboard2,bicycle3,keyboard2-bottle1,chair8-bicycle3,dot,4146942.25,5126337.5,0,1
resnet50_random,keyboard2-bicycle3,keyboard2,bicycle3,keyboard2-bottle1,chair9-bicycle3,dot,4146942.25,4558439.0,0,1
resnet50_random,keyboard2-bicycle3,keyboard2,bicycle3,keyboard2-bottle1,chair3-bicycle3,dot,4146942.25,4335088.0,0,1
resnet50_random,keyboard2-bicycle3,keyboard2,bicycle3,keyboard2-bottle1,truck1-bicycle3,dot,4146942.25,2889828.75,1,0
resnet50_random,keyboard2-bicycle3,keyboard2,bicycle3,keyboard2-bottle1,bird9-bicycle3,dot,4146942.25,4669881.0,0,1
resnet50_random,keyboard2-bicycle3,keyboard2,bicycle3,keyboard2-bottle1,airplane8-bicycle3,dot,4146942.25,4654870.0,0,1
resnet50_random,keyboard2-bicycle3,keyboard2,bicycle3,keyboard2-bottle1,bottle6-bicycle3,dot,4146942.25,4628640.5,0,1
resnet50_random,keyboard2-bicycle3,keyboard2,bicycle3,keyboard2-bottle1,bottle3-bicycle3,dot,4146942.25,4528470.0,0,1
resnet50_random,keyboard2-bicycle3,keyboard2,bicycle3,keyboard2-bottle1,knife2-bicycle3,dot,4146942.25,4621945.0,0,1
resnet50_random,keyboard2-bicycle3,keyboard2,bicycle3,keyboard2-bottle1,elephant8-bicycle3,dot,4146942.25,3977046.0,1,0
resnet50_random,keyboard2-bicycle3,keyboard2,bicycle3,keyboard2-bottle1,elephant5-bicycle3,dot,4146942.25,3848253.25,1,0
resnet50_random,keyboard2-bicycle3,keyboard2,bicycle3,keyboard2-clock1,cat8-bicycle3,dot,3826490.75,4062545.5,0,1
resnet50_random,keyboard2-bicycle3,keyboard2,bicycle3,keyboard2-clock1,cat5-bicycle3,dot,3826490.75,3516263.0,1,0
resnet50_random,keyboard2-bicycle3,keyboard2,bicycle3,keyboard2-clock1,car4-bicycle3,dot,3826490.75,4087826.0,0,1
resnet50_random,keyboard2-bicycle3,keyboard2,bicycle3,keyboard2-clock1,car6-bicycle3,dot,3826490.75,3204950.0,1,0
resnet50_random,keyboard2-bicycle3,keyboard2,bicycle3,keyboard2-clock1,dog9-bicycle3,dot,3826490.75,4716408.0,0,1
resnet50_random,keyboard2-bicycle3,keyboard2,bicycle3,keyboard2-clock1,bear5-bicycle3,dot,3826490.75,3714618.5,1,0
resnet50_random,keyboard2-bicycle3,keyboard2,bicycle3,keyboard2-clock1,bear8-bicycle3,dot,3826490.75,3603850.75,1,0
resnet50_random,keyboard2-bicycle3,keyboard2,bicycle3,keyboard2-clock1,bear1-bicycle3,dot,3826490.75,3412489.75,1,0
resnet50_random,keyboard2-bicycle3,keyboard2,bicycle3,keyboard2-clock1,boat4-bicycle3,dot,3826490.75,4310578.0,0,1
resnet50_random,keyboard2-bicycle3,keyboard2,bicycle3,keyboard2-clock1,boat5-bicycle3,dot,3826490.75,4784896.0,0,1
resnet50_random,keyboard2-bicycle3,keyboard2,bicycle3,keyboard2-clock1,chair8-bicycle3,dot,3826490.75,5126337.5,0,1
resnet50_random,keyboard2-bicycle3,keyboard2,bicycle3,keyboard2-clock1,chair9-bicycle3,dot,3826490.75,4558439.0,0,1
resnet50_random,keyboard2-bicycle3,keyboard2,bicycle3,keyboard2-clock1,chair3-bicycle3,dot,3826490.75,4335088.0,0,1
resnet50_random,keyboard2-bicycle3,keyboard2,bicycle3,keyboard2-clock1,truck1-bicycle3,dot,3826490.75,2889828.75,1,0
resnet50_random,keyboard2-bicycle3,keyboard2,bicycle3,keyboard2-clock1,bird9-bicycle3,dot,3826490.75,4669881.0,0,1
resnet50_random,keyboard2-bicycle3,keyboard2,bicycle3,keyboard2-clock1,airplane8-bicycle3,dot,3826490.75,4654870.0,0,1
resnet50_random,keyboard2-bicycle3,keyboard2,bicycle3,keyboard2-clock1,bottle6-bicycle3,dot,3826490.75,4628640.5,0,1
resnet50_random,keyboard2-bicycle3,keyboard2,bicycle3,keyboard2-clock1,bottle3-bicycle3,dot,3826490.75,4528470.0,0,1
resnet50_random,keyboard2-bicycle3,keyboard2,bicycle3,keyboard2-clock1,knife2-bicycle3,dot,3826490.75,4621945.0,0,1
resnet50_random,keyboard2-bicycle3,keyboard2,bicycle3,keyboard2-clock1,elephant8-bicycle3,dot,3826490.75,3977046.0,0,1
resnet50_random,keyboard2-bicycle3,keyboard2,bicycle3,keyboard2-clock1,elephant5-bicycle3,dot,3826490.75,3848253.25,0,1
resnet50_random,keyboard2-bicycle3,keyboard2,bicycle3,keyboard2-knife1,cat8-bicycle3,dot,3789944.0,4062545.5,0,1
resnet50_random,keyboard2-bicycle3,keyboard2,bicycle3,keyboard2-knife1,cat5-bicycle3,dot,3789944.0,3516263.0,1,0
resnet50_random,keyboard2-bicycle3,keyboard2,bicycle3,keyboard2-knife1,car4-bicycle3,dot,3789944.0,4087826.0,0,1
resnet50_random,keyboard2-bicycle3,keyboard2,bicycle3,keyboard2-knife1,car6-bicycle3,dot,3789944.0,3204950.0,1,0
resnet50_random,keyboard2-bicycle3,keyboard2,bicycle3,keyboard2-knife1,dog9-bicycle3,dot,3789944.0,4716408.0,0,1
resnet50_random,keyboard2-bicycle3,keyboard2,bicycle3,keyboard2-knife1,bear5-bicycle3,dot,3789944.0,3714618.5,1,0
resnet50_random,keyboard2-bicycle3,keyboard2,bicycle3,keyboard2-knife1,bear8-bicycle3,dot,3789944.0,3603850.75,1,0
resnet50_random,keyboard2-bicycle3,keyboard2,bicycle3,keyboard2-knife1,bear1-bicycle3,dot,3789944.0,3412489.75,1,0
resnet50_random,keyboard2-bicycle3,keyboard2,bicycle3,keyboard2-knife1,boat4-bicycle3,dot,3789944.0,4310578.0,0,1
resnet50_random,keyboard2-bicycle3,keyboard2,bicycle3,keyboard2-knife1,boat5-bicycle3,dot,3789944.0,4784896.0,0,1
resnet50_random,keyboard2-bicycle3,keyboard2,bicycle3,keyboard2-knife1,chair8-bicycle3,dot,3789944.0,5126337.5,0,1
resnet50_random,keyboard2-bicycle3,keyboard2,bicycle3,keyboard2-knife1,chair9-bicycle3,dot,3789944.0,4558439.0,0,1
resnet50_random,keyboard2-bicycle3,keyboard2,bicycle3,keyboard2-knife1,chair3-bicycle3,dot,3789944.0,4335088.0,0,1
resnet50_random,keyboard2-bicycle3,keyboard2,bicycle3,keyboard2-knife1,truck1-bicycle3,dot,3789944.0,2889828.75,1,0
resnet50_random,keyboard2-bicycle3,keyboard2,bicycle3,keyboard2-knife1,bird9-bicycle3,dot,3789944.0,4669881.0,0,1
resnet50_random,keyboard2-bicycle3,keyboard2,bicycle3,keyboard2-knife1,airplane8-bicycle3,dot,3789944.0,4654870.0,0,1
resnet50_random,keyboard2-bicycle3,keyboard2,bicycle3,keyboard2-knife1,bottle6-bicycle3,dot,3789944.0,4628640.5,0,1
