Model,Anchor,Anchor Shape,Anchor Texture,Shape Match,Texture Match,Metric,Shape Distance,Texture Distance,Shape Match Closer,Texture Match Closer
resnet50_random,keyboard5-bear3,keyboard5,bear3,keyboard5-knife2,car5-bear3,dot,2911768.5,3275001.5,0,1
resnet50_random,keyboard5-bear3,keyboard5,bear3,keyboard5-knife2,car4-bear3,dot,2911768.5,3560759.0,0,1
resnet50_random,keyboard5-bear3,keyboard5,bear3,keyboard5-knife2,dog3-bear3,dot,2911768.5,3964894.5,0,1
resnet50_random,keyboard5-bear3,keyboard5,bear3,keyboard5-knife2,dog8-bear3,dot,2911768.5,4096509.0,0,1
resnet50_random,keyboard5-bear3,keyboard5,bear3,keyboard5-knife2,dog5-bear3,dot,2911768.5,3240148.75,0,1
resnet50_random,keyboard5-bear3,keyboard5,bear3,keyboard5-knife2,dog9-bear3,dot,2911768.5,4130525.0,0,1
resnet50_random,keyboard5-bear3,keyboard5,bear3,keyboard5-knife2,boat9-bear3,dot,2911768.5,3609735.25,0,1
resnet50_random,keyboard5-bear3,keyboard5,bear3,keyboard5-knife2,boat2-bear3,dot,2911768.5,3853535.0,0,1
resnet50_random,keyboard5-bear3,keyboard5,bear3,keyboard5-knife2,boat10-bear3,dot,2911768.5,3749990.0,0,1
resnet50_random,keyboard5-bear3,keyboard5,bear3,keyboard5-knife2,oven2-bear3,dot,2911768.5,2236336.0,1,0
resnet50_random,keyboard5-bear3,keyboard5,bear3,keyboard5-knife2,truck3-bear3,dot,2911768.5,2914958.75,0,1
resnet50_random,keyboard5-bear3,keyboard5,bear3,keyboard5-knife2,bird3-bear3,dot,2911768.5,3756440.0,0,1
resnet50_random,keyboard5-bear3,keyboard5,bear3,keyboard5-knife2,bird5-bear3,dot,2911768.5,3835927.0,0,1
resnet50_random,keyboard5-bear3,keyboard5,bear3,keyboard5-knife2,bird9-bear3,dot,2911768.5,4106052.5,0,1
resnet50_random,keyboard5-bear3,keyboard5,bear3,keyboard5-knife2,airplane10-bear3,dot,2911768.5,4075899.0,0,1
resnet50_random,keyboard5-bear3,keyboard5,bear3,keyboard5-knife2,airplane4-bear3,dot,2911768.5,4164103.25,0,1
resnet50_random,keyboard5-bear3,keyboard5,bear3,keyboard5-knife2,airplane6-bear3,dot,2911768.5,4196582.0,0,1
resnet50_random,keyboard5-bear3,keyboard5,bear3,keyboard5-knife2,clock3-bear3,dot,2911768.5,2458413.5,1,0
resnet50_random,keyboard5-bear3,keyboard5,bear3,keyboard5-knife2,knife10-bear3,dot,2911768.5,3838190.75,0,1
resnet50_random,keyboard5-bear3,keyboard5,bear3,keyboard5-knife2,knife9-bear3,dot,2911768.5,3994760.75,0,1
resnet50_random,keyboard5-bear3,keyboard5,bear3,keyboard5-knife2,elephant7-bear3,dot,2911768.5,3943823.0,0,1
resnet50_random,keyboard5-bear3,keyboard5,bear3,keyboard5-knife2,elephant2-bear3,dot,2911768.5,3727121.75,0,1
resnet50_random,keyboard5-bear3,keyboard5,bear3,keyboard5-bicycle1,car5-bear3,dot,3440134.0,3275001.5,1,0
resnet50_random,keyboard5-bear3,keyboard5,bear3,keyboard5-bicycle1,car4-bear3,dot,3440134.0,3560759.0,0,1
resnet50_random,keyboard5-bear3,keyboard5,bear3,keyboard5-bicycle1,dog3-bear3,dot,3440134.0,3964894.5,0,1
resnet50_random,keyboard5-bear3,keyboard5,bear3,keyboard5-bicycle1,dog8-bear3,dot,3440134.0,4096509.0,0,1
