Model,Anchor,Anchor Shape,Anchor Texture,Shape Match,Texture Match,Metric,Shape Distance,Texture Distance,Shape Match Closer,Texture Match Closer
resnet50_random,knife7-elephant2,knife7,elephant2,knife7-chair2,cat3-elephant2,dot,5301144.0,3844312.5,1,0
resnet50_random,knife7-elephant2,knife7,elephant2,knife7-chair2,cat5-elephant2,dot,5301144.0,3256768.75,1,0
resnet50_random,knife7-elephant2,knife7,elephant2,knife7-chair2,car10-elephant2,dot,5301144.0,4713860.0,1,0
resnet50_random,knife7-elephant2,knife7,elephant2,knife7-chair2,dog3-elephant2,dot,5301144.0,4888693.0,1,0
resnet50_random,knife7-elephant2,knife7,elephant2,knife7-chair2,dog4-elephant2,dot,5301144.0,4759106.0,1,0
resnet50_random,knife7-elephant2,knife7,elephant2,knife7-chair2,dog6-elephant2,dot,5301144.0,4048457.5,1,0
resnet50_random,knife7-elephant2,knife7,elephant2,knife7-chair2,bear4-elephant2,dot,5301144.0,4800502.0,1,0
resnet50_random,knife7-elephant2,knife7,elephant2,knife7-chair2,bear8-elephant2,dot,5301144.0,3681217.5,1,0
resnet50_random,knife7-elephant2,knife7,elephant2,knife7-chair2,boat4-elephant2,dot,5301144.0,4594858.5,1,0
resnet50_random,knife7-elephant2,knife7,elephant2,knife7-chair2,boat6-elephant2,dot,5301144.0,5116779.0,1,0
resnet50_random,knife7-elephant2,knife7,elephant2,knife7-chair2,oven6-elephant2,dot,5301144.0,3831993.5,1,0
resnet50_random,knife7-elephant2,knife7,elephant2,knife7-chair2,chair6-elephant2,dot,5301144.0,4861292.0,1,0
resnet50_random,knife7-elephant2,knife7,elephant2,knife7-chair2,truck7-elephant2,dot,5301144.0,2735534.0,1,0
resnet50_random,knife7-elephant2,knife7,elephant2,knife7-chair2,bird9-elephant2,dot,5301144.0,5150480.0,1,0
resnet50_random,knife7-elephant2,knife7,elephant2,knife7-chair2,bird1-elephant2,dot,5301144.0,4701748.0,1,0
resnet50_random,knife7-elephant2,knife7,elephant2,knife7-chair2,bird6-elephant2,dot,5301144.0,4888373.0,1,0
resnet50_random,knife7-elephant2,knife7,elephant2,knife7-chair2,bird10-elephant2,dot,5301144.0,4894483.0,1,0
resnet50_random,knife7-elephant2,knife7,elephant2,knife7-chair2,bicycle7-elephant2,dot,5301144.0,5771095.5,0,1
resnet50_random,knife7-elephant2,knife7,elephant2,knife7-chair2,bicycle3-elephant2,dot,5301144.0,5433691.5,0,1
resnet50_random,knife7-elephant2,knife7,elephant2,knife7-chair2,bicycle10-elephant2,dot,5301144.0,5507188.0,0,1
resnet50_random,knife7-elephant2,knife7,elephant2,knife7-chair2,bicycle1-elephant2,dot,5301144.0,5780839.0,0,1
resnet50_random,knife7-elephant2,knife7,elephant2,knife7-chair2,bottle7-elephant2,dot,5301144.0,4870227.5,1,0
resnet50_random,knife7-elephant2,knife7,elephant2,knife7-chair2,bottle9-elephant2,dot,5301144.0,4858543.0,1,0
resnet50_random,knife7-elephant2,knife7,elephant2,knife7-chair2,keyboard3-elephant2,dot,5301144.0,5120983.0,1,0
resnet50_random,knife7-elephant2,knife7,elephant2,knife7-chair2,keyboard9-elephant2,dot,5301144.0,3318862.0,1,0
resnet50_random,knife7-elephant2,knife7,elephant2,knife7-chair2,clock4-elephant2,dot,5301144.0,2873167.75,1,0
resnet50_random,knife7-elephant2,knife7,elephant2,knife7-chair2,clock2-elephant2,dot,5301144.0,2755333.0,1,0
resnet50_random,knife7-elephant2,knife7,elephant2,knife7-chair2,clock5-elephant2,dot,5301144.0,2995802.5,1,0
resnet50_random,knife7-elephant2,knife7,elephant2,knife7-chair2,clock1-elephant2,dot,5301144.0,2327323.0,1,0
resnet50_random,knife7-elephant2,knife7,elephant2,knife7-chair2,knife9-elephant2,dot,5301144.0,5180515.0,1,0
resnet50_random,knife7-elephant2,knife7,elephant2,knife7-chair2,knife2-elephant2,dot,5301144.0,5048882.0,1,0
resnet50_random,knife7-elephant2,knife7,elephant2,knife7-car2,cat3-elephant2,dot,5265565.5,3844312.5,1,0
resnet50_random,knife7-elephant2,knife7,elephant2,knife7-car2,cat5-elephant2,dot,5265565.5,3256768.75,1,0
resnet50_random,knife7-elephant2,knife7,elephant2,knife7-car2,car10-elephant2,dot,5265565.5,4713860.0,1,0
resnet50_random,knife7-elephant2,knife7,elephant2,knife7-car2,dog3-elephant2,dot,5265565.5,4888693.0,1,0
resnet50_random,knife7-elephant2,knife7,elephant2,knife7-car2,dog4-elephant2,dot,5265565.5,4759106.0,1,0
resnet50_random,knife7-elephant2,knife7,elephant2,knife7-car2,dog6-elephant2,dot,5265565.5,4048457.5,1,0
resnet50_random,knife7-elephant2,knife7,elephant2,knife7-car2,bear4-elephant2,dot,5265565.5,4800502.0,1,0
resnet50_random,knife7-elephant2,knife7,elephant2,knife7-car2,bear8-elephant2,dot,5265565.5,3681217.5,1,0
resnet50_random,knife7-elephant2,knife7,elephant2,knife7-car2,boat4-elephant2,dot,5265565.5,4594858.5,1,0
resnet50_random,knife7-elephant2,knife7,elephant2,knife7-car2,boat6-elephant2,dot,5265565.5,5116779.0,1,0
resnet50_random,knife7-elephant2,knife7,elephant2,knife7-car2,oven6-elephant2,dot,5265565.5,3831993.5,1,0
resnet50_random,knife7-elephant2,knife7,elephant2,knife7-car2,chair6-elephant2,dot,5265565.5,4861292.0,1,0
resnet50_random,knife7-elephant2,knife7,elephant2,knife7-car2,truck7-elephant2,dot,5265565.5,2735534.0,1,0
resnet50_random,knife7-elephant2,knife7,elephant2,knife7-car2,bird9-elephant2,dot,5265565.5,5150480.0,1,0
resnet50_random,knife7-elephant2,knife7,elephant2,knife7-car2,bird1-elephant2,dot,5265565.5,4701748.0,1,0
resnet50_random,knife7-elephant2,knife7,elephant2,knife7-car2,bird6-elephant2,dot,5265565.5,4888373.0,1,0
resnet50_random,knife7-elephant2,knife7,elephant2,knife7-car2,bird10-elephant2,dot,5265565.5,4894483.0,1,0
resnet50_random,knife7-elephant2,knife7,elephant2,knife7-car2,bicycle7-elephant2,dot,5265565.5,5771095.5,0,1
resnet50_random,knife7-elephant2,knife7,elephant2,knife7-car2,bicycle3-elephant2,dot,5265565.5,5433691.5,0,1
resnet50_random,knife7-elephant2,knife7,elephant2,knife7-car2,bicycle10-elephant2,dot,5265565.5,5507188.0,0,1
resnet50_random,knife7-elephant2,knife7,elephant2,knife7-car2,bicycle1-elephant2,dot,5265565.5,5780839.0,0,1
resnet50_random,knife7-elephant2,knife7,elephant2,knife7-car2,bottle7-elephant2,dot,5265565.5,4870227.5,1,0
resnet50_random,knife7-elephant2,knife7,elephant2,knife7-car2,bottle9-elephant2,dot,5265565.5,4858543.0,1,0
resnet50_random,knife7-elephant2,knife7,elephant2,knife7-car2,keyboard3-elephant2,dot,5265565.5,5120983.0,1,0
resnet50_random,knife7-elephant2,knife7,elephant2,knife7-car2,keyboard9-elephant2,dot,5265565.5,3318862.0,1,0
resnet50_random,knife7-elephant2,knife7,elephant2,knife7-car2,clock4-elephant2,dot,5265565.5,2873167.75,1,0
resnet50_random,knife7-elephant2,knife7,elephant2,knife7-car2,clock2-elephant2,dot,5265565.5,2755333.0,1,0
resnet50_random,knife7-elephant2,knife7,elephant2,knife7-car2,clock5-elephant2,dot,5265565.5,2995802.5,1,0
resnet50_random,knife7-elephant2,knife7,elephant2,knife7-car2,clock1-elephant2,dot,5265565.5,2327323.0,1,0
resnet50_random,knife7-elephant2,knife7,elephant2,knife7-car2,knife9-elephant2,dot,5265565.5,5180515.0,1,0
resnet50_random,knife7-elephant2,knife7,elephant2,knife7-car2,knife2-elephant2,dot,5265565.5,5048882.0,1,0
resnet50_random,knife7-elephant2,knife7,elephant2,knife7-bird3,cat3-elephant2,dot,5253062.0,3844312.5,1,0
resnet50_random,knife7-elephant2,knife7,elephant2,knife7-bird3,cat5-elephant2,dot,5253062.0,3256768.75,1,0
resnet50_random,knife7-elephant2,knife7,elephant2,knife7-bird3,car10-elephant2,dot,5253062.0,4713860.0,1,0
resnet50_random,knife7-elephant2,knife7,elephant2,knife7-bird3,dog3-elephant2,dot,5253062.0,4888693.0,1,0
resnet50_random,knife7-elephant2,knife7,elephant2,knife7-bird3,dog4-elephant2,dot,5253062.0,4759106.0,1,0
resnet50_random,knife7-elephant2,knife7,elephant2,knife7-bird3,dog6-elephant2,dot,5253062.0,4048457.5,1,0
resnet50_random,knife7-elephant2,knife7,elephant2,knife7-bird3,bear4-elephant2,dot,5253062.0,4800502.0,1,0
resnet50_random,knife7-elephant2,knife7,elephant2,knife7-bird3,bear8-elephant2,dot,5253062.0,3681217.5,1,0
resnet50_random,knife7-elephant2,knife7,elephant2,knife7-bird3,boat4-elephant2,dot,5253062.0,4594858.5,1,0
resnet50_random,knife7-elephant2,knife7,elephant2,knife7-bird3,boat6-elephant2,dot,5253062.0,5116779.0,1,0
resnet50_random,knife7-elephant2,knife7,elephant2,knife7-bird3,oven6-elephant2,dot,5253062.0,3831993.5,1,0
resnet50_random,knife7-elephant2,knife7,elephant2,knife7-bird3,chair6-elephant2,dot,5253062.0,4861292.0,1,0
resnet50_random,knife7-elephant2,knife7,elephant2,knife7-bird3,truck7-elephant2,dot,5253062.0,2735534.0,1,0
resnet50_random,knife7-elephant2,knife7,elephant2,knife7-bird3,bird9-elephant2,dot,5253062.0,5150480.0,1,0
resnet50_random,knife7-elephant2,knife7,elephant2,knife7-bird3,bird1-elephant2,dot,5253062.0,4701748.0,1,0
resnet50_random,knife7-elephant2,knife7,elephant2,knife7-bird3,bird6-elephant2,dot,5253062.0,4888373.0,1,0
resnet50_random,knife7-elephant2,knife7,elephant2,knife7-bird3,bird10-elephant2,dot,5253062.0,4894483.0,1,0
resnet50_random,knife7-elephant2,knife7,elephant2,knife7-bird3,bicycle7-elephant2,dot,5253062.0,5771095.5,0,1
resnet50_random,knife7-elephant2,knife7,elephant2,knife7-bird3,bicycle3-elephant2,dot,5253062.0,5433691.5,0,1
resnet50_random,knife7-elephant2,knife7,elephant2,knife7-bird3,bicycle10-elephant2,dot,5253062.0,5507188.0,0,1
resnet50_random,knife7-elephant2,knife7,elephant2,knife7-bird3,bicycle1-elephant2,dot,5253062.0,5780839.0,0,1
resnet50_random,knife7-elephant2,knife7,elephant2,knife7-bird3,bottle7-elephant2,dot,5253062.0,4870227.5,1,0
resnet50_random,knife7-elephant2,knife7,elephant2,knife7-bird3,bottle9-elephant2,dot,5253062.0,4858543.0,1,0
resnet50_random,knife7-elephant2,knife7,elephant2,knife7-bird3,keyboard3-elephant2,dot,5253062.0,5120983.0,1,0
resnet50_random,knife7-elephant2,knife7,elephant2,knife7-bird3,keyboard9-elephant2,dot,5253062.0,3318862.0,1,0
resnet50_random,knife7-elephant2,knife7,elephant2,knife7-bird3,clock4-elephant2,dot,5253062.0,2873167.75,1,0
resnet50_random,knife7-elephant2,knife7,elephant2,knife7-bird3,clock2-elephant2,dot,5253062.0,2755333.0,1,0
resnet50_random,knife7-elephant2,knife7,elephant2,knife7-bird3,clock5-elephant2,dot,5253062.0,2995802.5,1,0
resnet50_random,knife7-elephant2,knife7,elephant2,knife7-bird3,clock1-elephant2,dot,5253062.0,2327323.0,1,0
resnet50_random,knife7-elephant2,knife7,elephant2,knife7-bird3,knife9-elephant2,dot,5253062.0,5180515.0,1,0
resnet50_random,knife7-elephant2,knife7,elephant2,knife7-bird3,knife2-elephant2,dot,5253062.0,5048882.0,1,0
resnet50_random,knife7-elephant2,knife7,elephant2,knife7-boat3,cat3-elephant2,dot,5319586.5,3844312.5,1,0
resnet50_random,knife7-elephant2,knife7,elephant2,knife7-boat3,cat5-elephant2,dot,5319586.5,3256768.75,1,0
resnet50_random,knife7-elephant2,knife7,elephant2,knife7-boat3,car10-elephant2,dot,5319586.5,4713860.0,1,0
resnet50_random,knife7-elephant2,knife7,elephant2,knife7-boat3,dog3-elephant2,dot,5319586.5,4888693.0,1,0
resnet50_random,knife7-elephant2,knife7,elephant2,knife7-boat3,dog4-elephant2,dot,5319586.5,4759106.0,1,0
resnet50_random,knife7-elephant2,knife7,elephant2,knife7-boat3,dog6-elephant2,dot,5319586.5,4048457.5,1,0
resnet50_random,knife7-elephant2,knife7,elephant2,knife7-boat3,bear4-elephant2,dot,5319586.5,4800502.0,1,0
resnet50_random,knife7-elephant2,knife7,elephant2,knife7-boat3,bear8-elephant2,dot,5319586.5,3681217.5,1,0
resnet50_random,knife7-elephant2,knife7,elephant2,knife7-boat3,boat4-elephant2,dot,5319586.5,4594858.5,1,0
resnet50_random,knife7-elephant2,knife7,elephant2,knife7-boat3,boat6-elephant2,dot,5319586.5,5116779.0,1,0
resnet50_random,knife7-elephant2,knife7,elephant2,knife7-boat3,oven6-elephant2,dot,5319586.5,3831993.5,1,0
resnet50_random,knife7-elephant2,knife7,elephant2,knife7-boat3,chair6-elephant2,dot,5319586.5,4861292.0,1,0
resnet50_random,knife7-elephant2,knife7,elephant2,knife7-boat3,truck7-elephant2,dot,5319586.5,2735534.0,1,0
resnet50_random,knife7-elephant2,knife7,elephant2,knife7-boat3,bird9-elephant2,dot,5319586.5,5150480.0,1,0
resnet50_random,knife7-elephant2,knife7,elephant2,knife7-boat3,bird1-elephant2,dot,5319586.5,4701748.0,1,0
resnet50_random,knife7-elephant2,knife7,elephant2,knife7-boat3,bird6-elephant2,dot,5319586.5,4888373.0,1,0
resnet50_random,knife7-elephant2,knife7,elephant2,knife7-boat3,bird10-elephant2,dot,5319586.5,4894483.0,1,0
resnet50_random,knife7-elephant2,knife7,elephant2,knife7-boat3,bicycle7-elephant2,dot,5319586.5,5771095.5,0,1
resnet50_random,knife7-elephant2,knife7,elephant2,knife7-boat3,bicycle3-elephant2,dot,5319586.5,5433691.5,0,1
resnet50_random,knife7-elephant2,knife7,elephant2,knife7-boat3,bicycle10-elephant2,dot,5319586.5,5507188.0,0,1
resnet50_random,knife7-elephant2,knife7,elephant2,knife7-boat3,bicycle1-elephant2,dot,5319586.5,5780839.0,0,1
resnet50_random,knife7-elephant2,knife7,elephant2,knife7-boat3,bottle7-elephant2,dot,5319586.5,4870227.5,1,0
resnet50_random,knife7-elephant2,knife7,elephant2,knife7-boat3,bottle9-elephant2,dot,5319586.5,4858543.0,1,0
resnet50_random,knife7-elephant2,knife7,elephant2,knife7-boat3,keyboard3-elephant2,dot,5319586.5,5120983.0,1,0
resnet50_random,knife7-elephant2,knife7,elephant2,knife7-boat3,keyboard9-elephant2,dot,5319586.5,3318862.0,1,0
resnet50_random,knife7-elephant2,knife7,elephant2,knife7-boat3,clock4-elephant2,dot,5319586.5,2873167.75,1,0
resnet50_random,knife7-elephant2,knife7,elephant2,knife7-boat3,clock2-elephant2,dot,5319586.5,2755333.0,1,0
resnet50_random,knife7-elephant2,knife7,elephant2,knife7-boat3,clock5-elephant2,dot,5319586.5,2995802.5,1,0
