Model,Anchor,Anchor Shape,Anchor Texture,Shape Match,Texture Match,Metric,Shape Distance,Texture Distance,Shape Match Closer,Texture Match Closer
resnet50_random,truck1-knife1,truck1,knife1,truck1-cat1,cat4-knife1,dot,1486553.75,2983849.25,0,1
resnet50_random,truck1-knife1,truck1,knife1,truck1-cat1,car9-knife1,dot,1486553.75,2531552.25,0,1
resnet50_random,truck1-knife1,truck1,knife1,truck1-cat1,car6-knife1,dot,1486553.75,1981851.375,0,1
resnet50_random,truck1-knife1,truck1,knife1,truck1-cat1,bear4-knife1,dot,1486553.75,2901644.0,0,1
resnet50_random,truck1-knife1,truck1,knife1,truck1-cat1,boat8-knife1,dot,1486553.75,2676531.5,0,1
resnet50_random,truck1-knife1,truck1,knife1,truck1-cat1,oven3-knife1,dot,1486553.75,2315077.5,0,1
resnet50_random,truck1-knife1,truck1,knife1,truck1-cat1,chair3-knife1,dot,1486553.75,2905578.0,0,1
resnet50_random,truck1-knife1,truck1,knife1,truck1-cat1,chair2-knife1,dot,1486553.75,3272774.5,0,1
resnet50_random,truck1-knife1,truck1,knife1,truck1-cat1,truck4-knife1,dot,1486553.75,2381205.0,0,1
resnet50_random,truck1-knife1,truck1,knife1,truck1-cat1,bird2-knife1,dot,1486553.75,2648582.5,0,1
resnet50_random,truck1-knife1,truck1,knife1,truck1-cat1,airplane5-knife1,dot,1486553.75,2846595.0,0,1
resnet50_random,truck1-knife1,truck1,knife1,truck1-cat1,airplane6-knife1,dot,1486553.75,3172637.25,0,1
resnet50_random,truck1-knife1,truck1,knife1,truck1-cat1,airplane4-knife1,dot,1486553.75,3140329.0,0,1
resnet50_random,truck1-knife1,truck1,knife1,truck1-cat1,bottle8-knife1,dot,1486553.75,2947669.5,0,1
resnet50_random,truck1-knife1,truck1,knife1,truck1-cat1,bottle5-knife1,dot,1486553.75,3071971.5,0,1
resnet50_random,truck1-knife1,truck1,knife1,truck1-cat1,keyboard7-knife1,dot,1486553.75,2442227.0,0,1
resnet50_random,truck1-knife1,truck1,knife1,truck1-cat1,keyboard2-knife1,dot,1486553.75,2495527.25,0,1
resnet50_random,truck1-knife1,truck1,knife1,truck1-cat1,clock4-knife1,dot,1486553.75,1995341.375,0,1
resnet50_random,truck1-knife1,truck1,knife1,truck1-cat1,clock2-knife1,dot,1486553.75,1948918.25,0,1
resnet50_random,truck1-knife1,truck1,knife1,truck1-cat1,clock8-knife1,dot,1486553.75,2276526.0,0,1
resnet50_random,truck1-knife1,truck1,knife1,truck1-cat1,elephant3-knife1,dot,1486553.75,2605045.25,0,1
resnet50_random,truck1-knife1,truck1,knife1,truck10-car3,cat4-knife1,dot,2239635.5,2983849.25,0,1
resnet50_random,truck1-knife1,truck1,knife1,truck10-car3,car9-knife1,dot,2239635.5,2531552.25,0,1
resnet50_random,truck1-knife1,truck1,knife1,truck10-car3,car6-knife1,dot,2239635.5,1981851.375,1,0
resnet50_random,truck1-knife1,truck1,knife1,truck10-car3,bear4-knife1,dot,2239635.5,2901644.0,0,1
resnet50_random,truck1-knife1,truck1,knife1,truck10-car3,boat8-knife1,dot,2239635.5,2676531.5,0,1
resnet50_random,truck1-knife1,truck1,knife1,truck10-car3,oven3-knife1,dot,2239635.5,2315077.5,0,1
resnet50_random,truck1-knife1,truck1,knife1,truck10-car3,chair3-knife1,dot,2239635.5,2905578.0,0,1
resnet50_random,truck1-knife1,truck1,knife1,truck10-car3,chair2-knife1,dot,2239635.5,3272774.5,0,1
resnet50_random,truck1-knife1,truck1,knife1,truck10-car3,truck4-knife1,dot,2239635.5,2381205.0,0,1
resnet50_random,truck1-knife1,truck1,knife1,truck10-car3,bird2-knife1,dot,2239635.5,2648582.5,0,1
resnet50_random,truck1-knife1,truck1,knife1,truck10-car3,airplane5-knife1,dot,2239635.5,2846595.0,0,1
resnet50_random,truck1-knife1,truck1,knife1,truck10-car3,airplane6-knife1,dot,2239635.5,3172637.25,0,1
resnet50_random,truck1-knife1,truck1,knife1,truck10-car3,airplane4-knife1,dot,2239635.5,3140329.0,0,1
resnet50_random,truck1-knife1,truck1,knife1,truck10-car3,bottle8-knife1,dot,2239635.5,2947669.5,0,1
resnet50_random,truck1-knife1,truck1,knife1,truck10-car3,bottle5-knife1,dot,2239635.5,3071971.5,0,1
resnet50_random,truck1-knife1,truck1,knife1,truck10-car3,keyboard7-knife1,dot,2239635.5,2442227.0,0,1
resnet50_random,truck1-knife1,truck1,knife1,truck10-car3,keyboard2-knife1,dot,2239635.5,2495527.25,0,1
resnet50_random,truck1-knife1,truck1,knife1,truck10-car3,clock4-knife1,dot,2239635.5,1995341.375,1,0
resnet50_random,truck1-knife1,truck1,knife1,truck10-car3,clock2-knife1,dot,2239635.5,1948918.25,1,0
resnet50_random,truck1-knife1,truck1,knife1,truck10-car3,clock8-knife1,dot,2239635.5,2276526.0,0,1
resnet50_random,truck1-knife1,truck1,knife1,truck10-car3,elephant3-knife1,dot,2239635.5,2605045.25,0,1
resnet50_random,truck1-knife1,truck1,knife1,truck1-car3,cat4-knife1,dot,2108116.25,2983849.25,0,1
resnet50_random,truck1-knife1,truck1,knife1,truck1-car3,car9-knife1,dot,2108116.25,2531552.25,0,1
resnet50_random,truck1-knife1,truck1,knife1,truck1-car3,car6-knife1,dot,2108116.25,1981851.375,1,0
resnet50_random,truck1-knife1,truck1,knife1,truck1-car3,bear4-knife1,dot,2108116.25,2901644.0,0,1
resnet50_random,truck1-knife1,truck1,knife1,truck1-car3,boat8-knife1,dot,2108116.25,2676531.5,0,1
resnet50_random,truck1-knife1,truck1,knife1,truck1-car3,oven3-knife1,dot,2108116.25,2315077.5,0,1
resnet50_random,truck1-knife1,truck1,knife1,truck1-car3,chair3-knife1,dot,2108116.25,2905578.0,0,1
resnet50_random,truck1-knife1,truck1,knife1,truck1-car3,chair2-knife1,dot,2108116.25,3272774.5,0,1
resnet50_random,truck1-knife1,truck1,knife1,truck1-car3,truck4-knife1,dot,2108116.25,2381205.0,0,1
resnet50_random,truck1-knife1,truck1,knife1,truck1-car3,bird2-knife1,dot,2108116.25,2648582.5,0,1
resnet50_random,truck1-knife1,truck1,knife1,truck1-car3,airplane5-knife1,dot,2108116.25,2846595.0,0,1
resnet50_random,truck1-knife1,truck1,knife1,truck1-car3,airplane6-knife1,dot,2108116.25,3172637.25,0,1
resnet50_random,truck1-knife1,truck1,knife1,truck1-car3,airplane4-knife1,dot,2108116.25,3140329.0,0,1
resnet50_random,truck1-knife1,truck1,knife1,truck1-car3,bottle8-knife1,dot,2108116.25,2947669.5,0,1
resnet50_random,truck1-knife1,truck1,knife1,truck1-car3,bottle5-knife1,dot,2108116.25,3071971.5,0,1
resnet50_random,truck1-knife1,truck1,knife1,truck1-car3,keyboard7-knife1,dot,2108116.25,2442227.0,0,1
resnet50_random,truck1-knife1,truck1,knife1,truck1-car3,keyboard2-knife1,dot,2108116.25,2495527.25,0,1
resnet50_random,truck1-knife1,truck1,knife1,truck1-car3,clock4-knife1,dot,2108116.25,1995341.375,1,0
resnet50_random,truck1-knife1,truck1,knife1,truck1-car3,clock2-knife1,dot,2108116.25,1948918.25,1,0
resnet50_random,truck1-knife1,truck1,knife1,truck1-car3,clock8-knife1,dot,2108116.25,2276526.0,0,1
resnet50_random,truck1-knife1,truck1,knife1,truck1-car3,elephant3-knife1,dot,2108116.25,2605045.25,0,1
resnet50_random,truck1-knife1,truck1,knife1,truck1-dog1,cat4-knife1,dot,1808484.0,2983849.25,0,1
resnet50_random,truck1-knife1,truck1,knife1,truck1-dog1,car9-knife1,dot,1808484.0,2531552.25,0,1
resnet50_random,truck1-knife1,truck1,knife1,truck1-dog1,car6-knife1,dot,1808484.0,1981851.375,0,1
resnet50_random,truck1-knife1,truck1,knife1,truck1-dog1,bear4-knife1,dot,1808484.0,2901644.0,0,1
resnet50_random,truck1-knife1,truck1,knife1,truck1-dog1,boat8-knife1,dot,1808484.0,2676531.5,0,1
resnet50_random,truck1-knife1,truck1,knife1,truck1-dog1,oven3-knife1,dot,1808484.0,2315077.5,0,1
resnet50_random,truck1-knife1,truck1,knife1,truck1-dog1,chair3-knife1,dot,1808484.0,2905578.0,0,1
resnet50_random,truck1-knife1,truck1,knife1,truck1-dog1,chair2-knife1,dot,1808484.0,3272774.5,0,1
resnet50_random,truck1-knife1,truck1,knife1,truck1-dog1,truck4-knife1,dot,1808484.0,2381205.0,0,1
resnet50_random,truck1-knife1,truck1,knife1,truck1-dog1,bird2-knife1,dot,1808484.0,2648582.5,0,1
resnet50_random,truck1-knife1,truck1,knife1,truck1-dog1,airplane5-knife1,dot,1808484.0,2846595.0,0,1
resnet50_random,truck1-knife1,truck1,knife1,truck1-dog1,airplane6-knife1,dot,1808484.0,3172637.25,0,1
resnet50_random,truck1-knife1,truck1,knife1,truck1-dog1,airplane4-knife1,dot,1808484.0,3140329.0,0,1
resnet50_random,truck1-knife1,truck1,knife1,truck1-dog1,bottle8-knife1,dot,1808484.0,2947669.5,0,1
resnet50_random,truck1-knife1,truck1,knife1,truck1-dog1,bottle5-knife1,dot,1808484.0,3071971.5,0,1
resnet50_random,truck1-knife1,truck1,knife1,truck1-dog1,keyboard7-knife1,dot,1808484.0,2442227.0,0,1
resnet50_random,truck1-knife1,truck1,knife1,truck1-dog1,keyboard2-knife1,dot,1808484.0,2495527.25,0,1
resnet50_random,truck1-knife1,truck1,knife1,truck1-dog1,clock4-knife1,dot,1808484.0,1995341.375,0,1
resnet50_random,truck1-knife1,truck1,knife1,truck1-dog1,clock2-knife1,dot,1808484.0,1948918.25,0,1
resnet50_random,truck1-knife1,truck1,knife1,truck1-dog1,clock8-knife1,dot,1808484.0,2276526.0,0,1
resnet50_random,truck1-knife1,truck1,knife1,truck1-dog1,elephant3-knife1,dot,1808484.0,2605045.25,0,1
resnet50_random,truck1-knife1,truck1,knife1,truck1-bird1,cat4-knife1,dot,1023290.9375,2983849.25,0,1
resnet50_random,truck1-knife1,truck1,knife1,truck1-bird1,car9-knife1,dot,1023290.9375,2531552.25,0,1
resnet50_random,truck1-knife1,truck1,knife1,truck1-bird1,car6-knife1,dot,1023290.9375,1981851.375,0,1
resnet50_random,truck1-knife1,truck1,knife1,truck1-bird1,bear4-knife1,dot,1023290.9375,2901644.0,0,1
resnet50_random,truck1-knife1,truck1,knife1,truck1-bird1,boat8-knife1,dot,1023290.9375,2676531.5,0,1
resnet50_random,truck1-knife1,truck1,knife1,truck1-bird1,oven3-knife1,dot,1023290.9375,2315077.5,0,1
resnet50_random,truck1-knife1,truck1,knife1,truck1-bird1,chair3-knife1,dot,1023290.9375,2905578.0,0,1
resnet50_random,truck1-knife1,truck1,knife1,truck1-bird1,chair2-knife1,dot,1023290.9375,3272774.5,0,1
resnet50_random,truck1-knife1,truck1,knife1,truck1-bird1,truck4-knife1,dot,1023290.9375,2381205.0,0,1
resnet50_random,truck1-knife1,truck1,knife1,truck1-bird1,bird2-knife1,dot,1023290.9375,2648582.5,0,1
resnet50_random,truck1-knife1,truck1,knife1,truck1-bird1,airplane5-knife1,dot,1023290.9375,2846595.0,0,1
resnet50_random,truck1-knife1,truck1,knife1,truck1-bird1,airplane6-knife1,dot,1023290.9375,3172637.25,0,1
resnet50_random,truck1-knife1,truck1,knife1,truck1-bird1,airplane4-knife1,dot,1023290.9375,3140329.0,0,1
resnet50_random,truck1-knife1,truck1,knife1,truck1-bird1,bottle8-knife1,dot,1023290.9375,2947669.5,0,1
resnet50_random,truck1-knife1,truck1,knife1,truck1-bird1,bottle5-knife1,dot,1023290.9375,3071971.5,0,1
resnet50_random,truck1-knife1,truck1,knife1,truck1-bird1,keyboard7-knife1,dot,1023290.9375,2442227.0,0,1
resnet50_random,truck1-knife1,truck1,knife1,truck1-bird1,keyboard2-knife1,dot,1023290.9375,2495527.25,0,1
resnet50_random,truck1-knife1,truck1,knife1,truck1-bird1,clock4-knife1,dot,1023290.9375,1995341.375,0,1
resnet50_random,truck1-knife1,truck1,knife1,truck1-bird1,clock2-knife1,dot,1023290.9375,1948918.25,0,1
resnet50_random,truck1-knife1,truck1,knife1,truck1-bird1,clock8-knife1,dot,1023290.9375,2276526.0,0,1
resnet50_random,truck1-knife1,truck1,knife1,truck1-bird1,elephant3-knife1,dot,1023290.9375,2605045.25,0,1
resnet50_random,truck1-knife1,truck1,knife1,truck1-bicycle3,cat4-knife1,dot,1905400.0,2983849.25,0,1
resnet50_random,truck1-knife1,truck1,knife1,truck1-bicycle3,car9-knife1,dot,1905400.0,2531552.25,0,1
resnet50_random,truck1-knife1,truck1,knife1,truck1-bicycle3,car6-knife1,dot,1905400.0,1981851.375,0,1
resnet50_random,truck1-knife1,truck1,knife1,truck1-bicycle3,bear4-knife1,dot,1905400.0,2901644.0,0,1
resnet50_random,truck1-knife1,truck1,knife1,truck1-bicycle3,boat8-knife1,dot,1905400.0,2676531.5,0,1
resnet50_random,truck1-knife1,truck1,knife1,truck1-bicycle3,oven3-knife1,dot,1905400.0,2315077.5,0,1
resnet50_random,truck1-knife1,truck1,knife1,truck1-bicycle3,chair3-knife1,dot,1905400.0,2905578.0,0,1
resnet50_random,truck1-knife1,truck1,knife1,truck1-bicycle3,chair2-knife1,dot,1905400.0,3272774.5,0,1
resnet50_random,truck1-knife1,truck1,knife1,truck1-bicycle3,truck4-knife1,dot,1905400.0,2381205.0,0,1
resnet50_random,truck1-knife1,truck1,knife1,truck1-bicycle3,bird2-knife1,dot,1905400.0,2648582.5,0,1
resnet50_random,truck1-knife1,truck1,knife1,truck1-bicycle3,airplane5-knife1,dot,1905400.0,2846595.0,0,1
resnet50_random,truck1-knife1,truck1,knife1,truck1-bicycle3,airplane6-knife1,dot,1905400.0,3172637.25,0,1
resnet50_random,truck1-knife1,truck1,knife1,truck1-bicycle3,airplane4-knife1,dot,1905400.0,3140329.0,0,1
resnet50_random,truck1-knife1,truck1,knife1,truck1-bicycle3,bottle8-knife1,dot,1905400.0,2947669.5,0,1
resnet50_random,truck1-knife1,truck1,knife1,truck1-bicycle3,bottle5-knife1,dot,1905400.0,3071971.5,0,1
resnet50_random,truck1-knife1,truck1,knife1,truck1-bicycle3,keyboard7-knife1,dot,1905400.0,2442227.0,0,1
resnet50_random,truck1-knife1,truck1,knife1,truck1-bicycle3,keyboard2-knife1,dot,1905400.0,2495527.25,0,1
resnet50_random,truck1-knife1,truck1,knife1,truck1-bicycle3,clock4-knife1,dot,1905400.0,1995341.375,0,1
resnet50_random,truck1-knife1,truck1,knife1,truck1-bicycle3,clock2-knife1,dot,1905400.0,1948918.25,0,1
resnet50_random,truck1-knife1,truck1,knife1,truck1-bicycle3,clock8-knife1,dot,1905400.0,2276526.0,0,1
resnet50_random,truck1-knife1,truck1,knife1,truck1-bicycle3,elephant3-knife1,dot,1905400.0,2605045.25,0,1
resnet50_random,truck1-knife1,truck1,knife1,truck1-chair2,cat4-knife1,dot,1658954.375,2983849.25,0,1
resnet50_random,truck1-knife1,truck1,knife1,truck1-chair2,car9-knife1,dot,1658954.375,2531552.25,0,1
resnet50_random,truck1-knife1,truck1,knife1,truck1-chair2,car6-knife1,dot,1658954.375,1981851.375,0,1
resnet50_random,truck1-knife1,truck1,knife1,truck1-chair2,bear4-knife1,dot,1658954.375,2901644.0,0,1
resnet50_random,truck1-knife1,truck1,knife1,truck1-chair2,boat8-knife1,dot,1658954.375,2676531.5,0,1
