Model,Anchor,Anchor Shape,Anchor Texture,Shape Match,Texture Match,Metric,Shape Distance,Texture Distance,Shape Match Closer,Texture Match Closer
resnet50_random,truck2-airplane3,truck2,airplane3,truck2-bottle3,cat10-airplane3,dot,3409064.0,3103232.5,1,0
resnet50_random,truck2-airplane3,truck2,airplane3,truck2-bottle3,car3-airplane3,dot,3409064.0,3343656.5,1,0
resnet50_random,truck2-airplane3,truck2,airplane3,truck2-bottle3,car8-airplane3,dot,3409064.0,3250591.75,1,0
resnet50_random,truck2-airplane3,truck2,airplane3,truck2-bottle3,car5-airplane3,dot,3409064.0,3040975.75,1,0
resnet50_random,truck2-airplane3,truck2,airplane3,truck2-bottle3,dog9-airplane3,dot,3409064.0,3955406.25,0,1
resnet50_random,truck2-airplane3,truck2,airplane3,truck2-bottle3,dog4-airplane3,dot,3409064.0,3621980.0,0,1
resnet50_random,truck2-airplane3,truck2,airplane3,truck2-bottle3,dog1-airplane3,dot,3409064.0,2833358.5,1,0
resnet50_random,truck2-airplane3,truck2,airplane3,truck2-bottle3,bear1-airplane3,dot,3409064.0,2617577.5,1,0
resnet50_random,truck2-airplane3,truck2,airplane3,truck2-bottle3,bear5-airplane3,dot,3409064.0,2978359.75,1,0
resnet50_random,truck2-airplane3,truck2,airplane3,truck2-bottle3,oven6-airplane3,dot,3409064.0,2984168.0,1,0
resnet50_random,truck2-airplane3,truck2,airplane3,truck2-bottle3,truck4-airplane3,dot,3409064.0,2898714.5,1,0
resnet50_random,truck2-airplane3,truck2,airplane3,truck2-bottle3,bird2-airplane3,dot,3409064.0,3250649.0,1,0
resnet50_random,truck2-airplane3,truck2,airplane3,truck2-bottle3,bird5-airplane3,dot,3409064.0,3660575.0,0,1
resnet50_random,truck2-airplane3,truck2,airplane3,truck2-bottle3,bottle7-airplane3,dot,3409064.0,3679026.25,0,1
resnet50_random,truck2-airplane3,truck2,airplane3,truck2-bottle3,keyboard10-airplane3,dot,3409064.0,3092911.5,1,0
resnet50_random,truck2-airplane3,truck2,airplane3,truck2-bottle3,keyboard9-airplane3,dot,3409064.0,2779189.0,1,0
resnet50_random,truck2-airplane3,truck2,airplane3,truck2-bottle3,keyboard5-airplane3,dot,3409064.0,2734705.5,1,0
resnet50_random,truck2-airplane3,truck2,airplane3,truck2-bottle3,knife4-airplane3,dot,3409064.0,3812330.5,0,1
resnet50_random,truck2-airplane3,truck2,airplane3,truck2-bottle3,knife7-airplane3,dot,3409064.0,3886703.5,0,1
resnet50_random,truck2-airplane3,truck2,airplane3,truck2-bottle3,elephant7-airplane3,dot,3409064.0,3717230.0,0,1
resnet50_random,truck2-airplane3,truck2,airplane3,truck2-bottle3,elephant2-airplane3,dot,3409064.0,3474837.5,0,1
resnet50_random,truck2-airplane3,truck2,airplane3,truck2-bottle3,elephant8-airplane3,dot,3409064.0,3261204.5,1,0
resnet50_random,truck2-airplane3,truck2,airplane3,truck2-keyboard1,cat10-airplane3,dot,2887774.0,3103232.5,0,1
resnet50_random,truck2-airplane3,truck2,airplane3,truck2-keyboard1,car3-airplane3,dot,2887774.0,3343656.5,0,1
resnet50_random,truck2-airplane3,truck2,airplane3,truck2-keyboard1,car8-airplane3,dot,2887774.0,3250591.75,0,1
resnet50_random,truck2-airplane3,truck2,airplane3,truck2-keyboard1,car5-airplane3,dot,2887774.0,3040975.75,0,1
resnet50_random,truck2-airplane3,truck2,airplane3,truck2-keyboard1,dog9-airplane3,dot,2887774.0,3955406.25,0,1
resnet50_random,truck2-airplane3,truck2,airplane3,truck2-keyboard1,dog4-airplane3,dot,2887774.0,3621980.0,0,1
resnet50_random,truck2-airplane3,truck2,airplane3,truck2-keyboard1,dog1-airplane3,dot,2887774.0,2833358.5,1,0
resnet50_random,truck2-airplane3,truck2,airplane3,truck2-keyboard1,bear1-airplane3,dot,2887774.0,2617577.5,1,0
resnet50_random,truck2-airplane3,truck2,airplane3,truck2-keyboard1,bear5-airplane3,dot,2887774.0,2978359.75,0,1
resnet50_random,truck2-airplane3,truck2,airplane3,truck2-keyboard1,oven6-airplane3,dot,2887774.0,2984168.0,0,1
resnet50_random,truck2-airplane3,truck2,airplane3,truck2-keyboard1,truck4-airplane3,dot,2887774.0,2898714.5,0,1
resnet50_random,truck2-airplane3,truck2,airplane3,truck2-keyboard1,bird2-airplane3,dot,2887774.0,3250649.0,0,1
resnet50_random,truck2-airplane3,truck2,airplane3,truck2-keyboard1,bird5-airplane3,dot,2887774.0,3660575.0,0,1
resnet50_random,truck2-airplane3,truck2,airplane3,truck2-keyboard1,bottle7-airplane3,dot,2887774.0,3679026.25,0,1
resnet50_random,truck2-airplane3,truck2,airplane3,truck2-keyboard1,keyboard10-airplane3,dot,2887774.0,3092911.5,0,1
resnet50_random,truck2-airplane3,truck2,airplane3,truck2-keyboard1,keyboard9-airplane3,dot,2887774.0,2779189.0,1,0
