Model,Anchor,Anchor Shape,Anchor Texture,Shape Match,Texture Match,Metric,Shape Distance,Texture Distance,Shape Match Closer,Texture Match Closer
resnet50_random,truck3-chair2,truck3,chair2,truck3-bird2,cat1-chair2,dot,2642409.0,3235070.75,0,1
resnet50_random,truck3-chair2,truck3,chair2,truck3-bird2,cat4-chair2,dot,2642409.0,3805725.5,0,1
resnet50_random,truck3-chair2,truck3,chair2,truck3-bird2,cat9-chair2,dot,2642409.0,3729777.0,0,1
resnet50_random,truck3-chair2,truck3,chair2,truck3-bird2,dog9-chair2,dot,2642409.0,3958030.5,0,1
resnet50_random,truck3-chair2,truck3,chair2,truck3-bird2,dog7-chair2,dot,2642409.0,3416838.25,0,1
resnet50_random,truck3-chair2,truck3,chair2,truck3-bird2,bear3-chair2,dot,2642409.0,2937108.5,0,1
resnet50_random,truck3-chair2,truck3,chair2,truck3-bird2,bear1-chair2,dot,2642409.0,2802392.75,0,1
resnet50_random,truck3-chair2,truck3,chair2,truck3-bird2,bear10-chair2,dot,2642409.0,3459830.75,0,1
resnet50_random,truck3-chair2,truck3,chair2,truck3-bird2,boat4-chair2,dot,2642409.0,3537474.25,0,1
resnet50_random,truck3-chair2,truck3,chair2,truck3-bird2,boat9-chair2,dot,2642409.0,3465342.0,0,1
resnet50_random,truck3-chair2,truck3,chair2,truck3-bird2,truck7-chair2,dot,2642409.0,2379512.0,1,0
resnet50_random,truck3-chair2,truck3,chair2,truck3-bird2,truck1-chair2,dot,2642409.0,2106334.5,1,0
resnet50_random,truck3-chair2,truck3,chair2,truck3-bird2,bird1-chair2,dot,2642409.0,3596189.0,0,1
resnet50_random,truck3-chair2,truck3,chair2,truck3-bird2,airplane1-chair2,dot,2642409.0,4049131.75,0,1
resnet50_random,truck3-chair2,truck3,chair2,truck3-bird2,bicycle8-chair2,dot,2642409.0,4315525.5,0,1
resnet50_random,truck3-chair2,truck3,chair2,truck3-bird2,bicycle5-chair2,dot,2642409.0,4306342.0,0,1
resnet50_random,truck3-chair2,truck3,chair2,truck3-bird2,bicycle4-chair2,dot,2642409.0,4236259.0,0,1
resnet50_random,truck3-chair2,truck3,chair2,truck3-bird2,bottle1-chair2,dot,2642409.0,3735280.0,0,1
