Model,Anchor,Anchor Shape,Anchor Texture,Shape Match,Texture Match,Metric,Shape Distance,Texture Distance,Shape Match Closer,Texture Match Closer
resnet50_random,truck3-dog3,truck3,dog3,truck3-bird2,cat5-dog3,dot,2528709.75,2536492.0,0,1
resnet50_random,truck3-dog3,truck3,dog3,truck3-bird2,cat4-dog3,dot,2528709.75,3500001.0,0,1
resnet50_random,truck3-dog3,truck3,dog3,truck3-bird2,cat7-dog3,dot,2528709.75,2688059.5,0,1
resnet50_random,truck3-dog3,truck3,dog3,truck3-bird2,car7-dog3,dot,2528709.75,3220403.0,0,1
resnet50_random,truck3-dog3,truck3,dog3,truck3-bird2,bear3-dog3,dot,2528709.75,2518713.5,1,0
resnet50_random,truck3-dog3,truck3,dog3,truck3-bird2,bear7-dog3,dot,2528709.75,1997727.75,1,0
resnet50_random,truck3-dog3,truck3,dog3,truck3-bird2,boat8-dog3,dot,2528709.75,3090097.0,0,1
resnet50_random,truck3-dog3,truck3,dog3,truck3-bird2,boat3-dog3,dot,2528709.75,2963732.75,0,1
resnet50_random,truck3-dog3,truck3,dog3,truck3-bird2,oven2-dog3,dot,2528709.75,1873172.0,1,0
resnet50_random,truck3-dog3,truck3,dog3,truck3-bird2,oven5-dog3,dot,2528709.75,2776738.0,0,1
resnet50_random,truck3-dog3,truck3,dog3,truck3-bird2,oven1-dog3,dot,2528709.75,1846388.0,1,0
resnet50_random,truck3-dog3,truck3,dog3,truck3-bird2,truck5-dog3,dot,2528709.75,2660569.5,0,1
resnet50_random,truck3-dog3,truck3,dog3,truck3-bird2,truck8-dog3,dot,2528709.75,3037964.5,0,1
resnet50_random,truck3-dog3,truck3,dog3,truck3-bird2,bird4-dog3,dot,2528709.75,3158235.0,0,1
resnet50_random,truck3-dog3,truck3,dog3,truck3-bird2,airplane10-dog3,dot,2528709.75,3600927.5,0,1
resnet50_random,truck3-dog3,truck3,dog3,truck3-bird2,airplane5-dog3,dot,2528709.75,3279171.5,0,1
resnet50_random,truck3-dog3,truck3,dog3,truck3-bird2,bicycle10-dog3,dot,2528709.75,3866307.5,0,1
resnet50_random,truck3-dog3,truck3,dog3,truck3-bird2,bicycle1-dog3,dot,2528709.75,4034902.25,0,1
resnet50_random,truck3-dog3,truck3,dog3,truck3-bird2,bottle6-dog3,dot,2528709.75,3613682.5,0,1
resnet50_random,truck3-dog3,truck3,dog3,truck3-bird2,keyboard1-dog3,dot,2528709.75,3053489.0,0,1
resnet50_random,truck3-dog3,truck3,dog3,truck3-bird2,keyboard8-dog3,dot,2528709.75,2577705.5,0,1
resnet50_random,truck3-dog3,truck3,dog3,truck3-bird2,keyboard5-dog3,dot,2528709.75,2462735.5,1,0
resnet50_random,truck3-dog3,truck3,dog3,truck3-bird2,clock10-dog3,dot,2528709.75,3564258.5,0,1
resnet50_random,truck3-dog3,truck3,dog3,truck3-bird2,elephant9-dog3,dot,2528709.75,2573779.5,0,1
resnet50_random,truck3-dog3,truck3,dog3,truck3-bear3,cat5-dog3,dot,2678794.0,2536492.0,1,0
resnet50_random,truck3-dog3,truck3,dog3,truck3-bear3,cat4-dog3,dot,2678794.0,3500001.0,0,1
resnet50_random,truck3-dog3,truck3,dog3,truck3-bear3,cat7-dog3,dot,2678794.0,2688059.5,0,1
resnet50_random,truck3-dog3,truck3,dog3,truck3-bear3,car7-dog3,dot,2678794.0,3220403.0,0,1
resnet50_random,truck3-dog3,truck3,dog3,truck3-bear3,bear3-dog3,dot,2678794.0,2518713.5,1,0
resnet50_random,truck3-dog3,truck3,dog3,truck3-bear3,bear7-dog3,dot,2678794.0,1997727.75,1,0
resnet50_random,truck3-dog3,truck3,dog3,truck3-bear3,boat8-dog3,dot,2678794.0,3090097.0,0,1
resnet50_random,truck3-dog3,truck3,dog3,truck3-bear3,boat3-dog3,dot,2678794.0,2963732.75,0,1
resnet50_random,truck3-dog3,truck3,dog3,truck3-bear3,oven2-dog3,dot,2678794.0,1873172.0,1,0
resnet50_random,truck3-dog3,truck3,dog3,truck3-bear3,oven5-dog3,dot,2678794.0,2776738.0,0,1
resnet50_random,truck3-dog3,truck3,dog3,truck3-bear3,oven1-dog3,dot,2678794.0,1846388.0,1,0
resnet50_random,truck3-dog3,truck3,dog3,truck3-bear3,truck5-dog3,dot,2678794.0,2660569.5,1,0
resnet50_random,truck3-dog3,truck3,dog3,truck3-bear3,truck8-dog3,dot,2678794.0,3037964.5,0,1
resnet50_random,truck3-dog3,truck3,dog3,truck3-bear3,bird4-dog3,dot,2678794.0,3158235.0,0,1
resnet50_random,truck3-dog3,truck3,dog3,truck3-bear3,airplane10-dog3,dot,2678794.0,3600927.5,0,1
resnet50_random,truck3-dog3,truck3,dog3,truck3-bear3,airplane5-dog3,dot,2678794.0,3279171.5,0,1
resnet50_random,truck3-dog3,truck3,dog3,truck3-bear3,bicycle10-dog3,dot,2678794.0,3866307.5,0,1
resnet50_random,truck3-dog3,truck3,dog3,truck3-bear3,bicycle1-dog3,dot,2678794.0,4034902.25,0,1
resnet50_random,truck3-dog3,truck3,dog3,truck3-bear3,bottle6-dog3,dot,2678794.0,3613682.5,0,1
resnet50_random,truck3-dog3,truck3,dog3,truck3-bear3,keyboard1-dog3,dot,2678794.0,3053489.0,0,1
resnet50_random,truck3-dog3,truck3,dog3,truck3-bear3,keyboard8-dog3,dot,2678794.0,2577705.5,1,0
resnet50_random,truck3-dog3,truck3,dog3,truck3-bear3,keyboard5-dog3,dot,2678794.0,2462735.5,1,0
resnet50_random,truck3-dog3,truck3,dog3,truck3-bear3,clock10-dog3,dot,2678794.0,3564258.5,0,1
resnet50_random,truck3-dog3,truck3,dog3,truck3-bear3,elephant9-dog3,dot,2678794.0,2573779.5,1,0
resnet50_random,truck3-dog3,truck3,dog3,truck3-bicycle1,cat5-dog3,dot,3055887.0,2536492.0,1,0
resnet50_random,truck3-dog3,truck3,dog3,truck3-bicycle1,cat4-dog3,dot,3055887.0,3500001.0,0,1
resnet50_random,truck3-dog3,truck3,dog3,truck3-bicycle1,cat7-dog3,dot,3055887.0,2688059.5,1,0
resnet50_random,truck3-dog3,truck3,dog3,truck3-bicycle1,car7-dog3,dot,3055887.0,3220403.0,0,1
resnet50_random,truck3-dog3,truck3,dog3,truck3-bicycle1,bear3-dog3,dot,3055887.0,2518713.5,1,0
resnet50_random,truck3-dog3,truck3,dog3,truck3-bicycle1,bear7-dog3,dot,3055887.0,1997727.75,1,0
resnet50_random,truck3-dog3,truck3,dog3,truck3-bicycle1,boat8-dog3,dot,3055887.0,3090097.0,0,1
resnet50_random,truck3-dog3,truck3,dog3,truck3-bicycle1,boat3-dog3,dot,3055887.0,2963732.75,1,0
resnet50_random,truck3-dog3,truck3,dog3,truck3-bicycle1,oven2-dog3,dot,3055887.0,1873172.0,1,0
resnet50_random,truck3-dog3,truck3,dog3,truck3-bicycle1,oven5-dog3,dot,3055887.0,2776738.0,1,0
